omitted_fold,trades,PF,expectancy,net_R,max_drawdown,win_rate,edge_survives
WF01,27,5.47228786698,1.40556544487,37.9502670116,-1.9786684979,0.592592592593,True
WF02,26,1.68184905271,0.297130146893,7.72538381923,-5.03856213251,0.461538461538,True
WF03,25,3.45667731348,1.16158616816,29.0396542041,-5.03856213251,0.44,True
WF04,24,3.44023690332,1.0008254001,24.0198096024,-5.03856213251,0.5,True
