removed_top_n,top_trade_contribution_R,percentage_total_positive_R,trades,PF,expectancy,net_R,max_drawdown,win_rate,edge_survives
1,13.9644679247,29.8780299036,33,2.37035235934,0.574158695587,18.9472369544,-5.03856213251,0.484848484848,True
3,27.1679124748,58.1277930327,31,1.415417799,0.185283625945,5.74379240429,-5.03856213251,0.451612903226,True
5,32.9160876874,70.4264464307,29,0.999683014903,-0.000151131322047,-0.00438280833936,-5.03856213251,0.413793103448,False
