candidate_id,strategy,timeframe,phase3_robustness_classification,phase4_walk_forward_verdict,phase2_PF,phase4_PF,true_oos_PF,PF_decay_phase2_to_oos,phase2_expectancy,phase4_expectancy,true_oos_expectancy,expectancy_decay_phase2_to_oos,phase2_max_drawdown,phase4_max_drawdown,true_oos_max_drawdown,drawdown_expansion_vs_phase4,phase2_trade_frequency,phase4_forward_trades,true_oos_annualized_trade_frequency,oos_observation_days,true_oos_classification
T2_M30_candidate_v3,T2,M30,ROBUST_READY,WALK_FORWARD_BORDERLINE,1.7118816595,1.70741299686,1.17764719099,-0.534234468508,0.310463258155,0.31812238663,0.0919196380323,-0.218543620123,-16.3334012952,-7.4489014096,-29.8417906145,22.3928892049,64.8,193,212.123677437,621.583333333,BORDERLINE
T2_H1_candidate_v3,T2,H1,ROBUST_READY,WALK_FORWARD_BORDERLINE,2.39295957746,2.41850664449,1.75760449523,-0.635355082235,0.575052042961,0.568312563729,0.381021700154,-0.194030342807,-6.88205022139,-7.37014448231,-12.629214942,5.25907045965,31.2,85,101.067236895,621.583333333,BORDERLINE
T3_M30_candidate_v3,T3,M30,ROBUST_READY,WALK_FORWARD_BORDERLINE,1.93094457407,1.60064574312,1.97656824882,0.0456236747491,0.376193476605,0.272899850925,0.424043791811,0.0478503152064,-15.012134415,-18.3781479418,-17.830747306,-0.547400635792,68.2,171,216.824479153,621.583333333,PASS
T3_H1_candidate_v3,T3,H1,ROBUST_READY,WALK_FORWARD_PASS,2.31342650378,3.29825125816,2.24544369911,-0.0679828046672,0.399304363394,0.580199228678,0.42427665588,0.0249722924864,-5.67342240555,-2.33918741216,-11.9772400216,9.63805260941,36.2,66,116.932442687,621.583333333,PASS
