configuration_id,expectancy_C1,PF_C1,neighbor_count,positive_neighbor_count,stable_positive_neighbor_count,stability_threshold,immediate_neighbor_ids,classification
T3-D1-0000-eb17737ebf56,-0.371388985669,0.102216885043,1,0,0,,T3-D1-0010-938b6b3b78f6,NO_EDGE
T3-D1-0001-e79c6ccdc36c,0.244632764624,2.42315028768,1,0,0,0.0856214676185,T3-D1-0010-938b6b3b78f6,LOCAL_SPIKE
T3-D1-0002-d9ba4217a7c3,-0.335401493268,0.0916166464646,1,0,0,,T3-D1-0010-938b6b3b78f6,NO_EDGE
T3-D1-0003-9b1e60957d91,-0.748601016541,0,2,0,0,,T3-D1-0004-ef25bc83a9b8|T3-D1-0010-938b6b3b78f6,NO_EDGE
T3-D1-0004-ef25bc83a9b8,,,2,0,0,,T3-D1-0003-9b1e60957d91|T3-D1-0005-6e0dd817f5a7,NO_EDGE
T3-D1-0005-6e0dd817f5a7,,,1,0,0,,T3-D1-0004-ef25bc83a9b8,NO_EDGE
T3-D1-0006-8b22fd2c7e81,-0.371388985669,0.102216885043,1,0,0,,T3-D1-0010-938b6b3b78f6,NO_EDGE
T3-D1-0007-b8b39c21f8a1,-0.411851980892,0.120408910625,1,0,0,,T3-D1-0010-938b6b3b78f6,NO_EDGE
T3-D1-0008-5dba2bc9137e,0.115066346885,1.64327305581,1,0,0,0.0402732214097,T3-D1-0009-db103492d13d,LOCAL_SPIKE
T3-D1-0009-db103492d13d,-0.133507796924,0.47017266235,2,1,0,,T3-D1-0008-5dba2bc9137e|T3-D1-0010-938b6b3b78f6,NO_EDGE
T3-D1-0010-938b6b3b78f6,-0.371388985669,0.102216885043,12,2,0,,T3-D1-0000-eb17737ebf56|T3-D1-0001-e79c6ccdc36c|T3-D1-0002-d9ba4217a7c3|T3-D1-0003-9b1e60957d91|T3-D1-0006-8b22fd2c7e81|T3-D1-0007-b8b39c21f8a1|T3-D1-0009-db103492d13d|T3-D1-0011-76dd2f3526c3|T3-D1-0013-4dff97e36238|T3-D1-0015-924083b3822d|T3-D1-0018-ab666f9016c3|T3-D1-0020-816e9e819790,NO_EDGE
T3-D1-0011-76dd2f3526c3,-0.56978981631,0,2,0,0,,T3-D1-0010-938b6b3b78f6|T3-D1-0012-82c674b1e20f,NO_EDGE
T3-D1-0012-82c674b1e20f,-0.775313188504,0,1,0,0,,T3-D1-0011-76dd2f3526c3,NO_EDGE
T3-D1-0013-4dff97e36238,-0.314371802058,0.0971498845803,2,0,0,,T3-D1-0010-938b6b3b78f6|T3-D1-0014-a750b6d58916,NO_EDGE
T3-D1-0014-a750b6d58916,-0.261976501715,0.0971498845803,1,0,0,,T3-D1-0013-4dff97e36238,NO_EDGE
T3-D1-0015-924083b3822d,-0.0740637909999,0.533111163173,2,0,0,,T3-D1-0010-938b6b3b78f6|T3-D1-0016-98c3349eff3f,NO_EDGE
T3-D1-0016-98c3349eff3f,-0.0740637909999,0.533111163173,2,0,0,,T3-D1-0015-924083b3822d|T3-D1-0017-737e6c59a803,NO_EDGE
T3-D1-0017-737e6c59a803,-0.0740637909999,0.533111163173,1,0,0,,T3-D1-0016-98c3349eff3f,NO_EDGE
T3-D1-0018-ab666f9016c3,0.270546549224,1.98101505326,2,1,0,0.0946912922285,T3-D1-0010-938b6b3b78f6|T3-D1-0019-7507864f8bc2,LOCAL_SPIKE
T3-D1-0019-7507864f8bc2,0.110182532271,1.20246773177,1,1,0,0.0385638862947,T3-D1-0018-ab666f9016c3,LOCAL_SPIKE
T3-D1-0020-816e9e819790,-0.668714180339,0,2,0,0,,T3-D1-0010-938b6b3b78f6|T3-D1-0021-0912e76c7e11,NO_EDGE
T3-D1-0021-0912e76c7e11,-0.668714180339,0,1,0,0,,T3-D1-0020-816e9e819790,NO_EDGE
