configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
R1-0000-1f40eee4940b,1,0,0,NO_EDGE,-0.0706943045063,0.814114852601
R1-0001-f2bd7d8bcaae,1,0,0,NO_EDGE,-0.0762086092975,0.790353740249
R1-0002-efa57b2b7521,2,0,0,NO_EDGE,-0.128088029785,0.692397305692
R1-0003-1d030e82a197,1,0,0,NO_EDGE,-0.0365524883911,0.881571419219
R1-0004-f038a930a552,1,0,0,NO_EDGE,-0.237444308513,0.405318931329
R1-0005-ce563554c1b8,1,0,0,NO_EDGE,-0.12280097041,0.720895799383
R1-0006-9ac11e56b037,12,1,0,NO_EDGE,-0.14204671852,0.656918694982
R1-0007-ff20c80f889d,1,0,0,NO_EDGE,-0.146015495398,0.632872668569
R1-0008-70c2b2ef50cf,1,0,0,NO_EDGE,-0.157003221227,0.629178418683
R1-0009-ad645ee68f3b,1,0,0,NO_EDGE,-0.0774385513677,0.784512855007
R1-0010-bb2139d9364c,1,0,0,NO_EDGE,-0.051461715015,0.87983319113
R1-0011-a3bf7936393e,1,0,0,LOCAL_SPIKE,0.170977536641,1.56061089689
R1-0012-242c433a3714,1,0,0,NO_EDGE,-0.108280913243,0.729754670449
R1-0013-e55c8f537655,1,0,0,NO_EDGE,-0.125148792412,0.696703657942
