parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
adx_range_max,15,1,0,-0.0706943045063,0
adx_range_max,20,12,0.0833333333333,-0.0926969570438,0.0947138083573
adx_range_max,25,1,0,-0.125148792412,0
bbw_percentile_threshold,30,1,0,-0.0762086092975,0
bbw_percentile_threshold,40,1,0,-0.128088029785,0
bbw_percentile_threshold,50,11,0.0909090909091,-0.0905117299199,0.0987954376636
bbw_percentile_threshold,60,1,0,-0.108280913243,0
bollinger_period,15,1,0,-0.0365524883911,0
bollinger_period,20,12,0,-0.120219302475,0.0478012467616
bollinger_period,25,1,1,0.170977536641,0
bollinger_std,1.5,1,0,-0.237444308513,0
bollinger_std,2,12,0.0833333333333,-0.0849417131597,0.0845635055373
bollinger_std,2.5,1,0,-0.051461715015,0
max_holding_bars,5,1,0,-0.0774385513677,0
max_holding_bars,10,12,0.0833333333333,-0.0894804007374,0.0934047798961
max_holding_bars,15,1,0,-0.157003221227,0
max_initial_stop_atr,1.5,1,0,-0.12280097041,0
max_initial_stop_atr,2,12,0.0833333333333,-0.0866158429697,0.0935382393848
max_initial_stop_atr,2.5,1,0,-0.146015495398,0
