group,metric,trade_count,mean,median,p75,p90
ALL,MAE_R,324,0.4501496614,0.429416433759,0.686844118981,0.857913095504
ALL,MFE_R,324,1.77239263098,1.0404481211,2.41100682309,4.14323464483
WINNERS,MAE_R,122,0.350942122082,0.305626356152,0.531459944824,0.698712764603
WINNERS,MFE_R,122,3.66861789679,2.85700622683,4.28923697556,6.66252056302
LOSERS,MAE_R,202,0.510067086137,0.518220476749,0.777882028124,0.897669678936
LOSERS,MFE_R,202,0.627147668467,0.541622195602,0.972687221883,1.35431549942
