direction,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,196,1.9674860414,0.406009030942,79.5777700647,-7.35426344625,10.8206308689,0.418367346939,6,12
SHORT,128,1.35584197535,0.164158793574,21.0123255775,-13.389661871,1.56929471259,0.3125,3,16
