version,scenario,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
baseline,C1,366,1.60567243173,0.264785895752,96.9116378451,-14.6843473006,6.59965580093,0.368852459016,5,12
candidate,C1,324,1.7118816595,0.310463258155,100.590095642,-16.3334012952,6.15855165892,0.376543209877,5,16
