year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,1,0,,,0,0,,
2023,2,1,0,-0.771438324374,-0.771438324374,-0.771438324374,-1,0
2023,3,2,0,-0.292598057233,-0.585196114466,-0.585196114466,-1,0
2023,4,3,6.70612767088,1.52568766638,4.57706299914,-0.80213119354,5.70612767088,0.666666666667
2023,5,2,,1.49962316025,2.99924632049,0,,1
2023,6,3,2.40881648376,0.654090301253,1.96227090376,-1.39285061353,1.40881648376,0.333333333333
2023,7,3,0,-0.945085244187,-2.83525573256,-2.83525573256,-1,0
2023,8,4,0.990053475436,-0.00520262935531,-0.0208105174213,-1.05767358316,-0.0196757466127,0.5
2023,9,1,0,-0.972698130712,-0.972698130712,-0.972698130712,-1,0
2023,10,2,0,-0.645167735373,-1.29033547075,-1.29033547075,-1,0
2023,11,1,0,-1.06437173859,-1.06437173859,-1.06437173859,-1,0
2023,12,3,0,-0.680104188467,-2.0403125654,-2.0403125654,-1,0
2024,1,1,,2.94944316787,2.94944316787,0,,1
2024,2,2,1.45004909269,0.227944299117,0.455888598233,-1.01297526344,0.450049092694,0.5
2024,3,0,,,0,0,,
2024,4,4,3.55796053549,0.720461203435,2.88184481374,-1.12661816856,2.55796053549,0.75
2024,5,4,1.18766812264,0.126084501351,0.504338005403,-2.68739303362,0.187668122635,0.25
2024,6,3,34.3539224296,5.0306125038,15.0918375114,-0.452475643405,33.3539224296,0.666666666667
2024,7,0,,,0,0,,
2024,8,2,0,-0.709379859558,-1.41875971912,-1.41875971912,-1,0
2024,9,4,10.6703533819,0.539706980804,2.15882792322,-0.223241885581,9.67035338193,0.75
2024,10,2,0.668896282293,-0.121328567264,-0.242657134528,-0.732873482087,-0.331103717707,0.5
2024,11,4,4.70005981507,1.32443913742,5.29775654969,-1.43180294765,3.70005981507,0.5
2024,12,1,0,-0.942229634155,-0.942229634155,-0.942229634155,-1,0
