direction,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
LONG,33,1.55739982877,0.260513465257,8.59694435348,-5.27274167348,1.63045051054,0.393939393939
SHORT,19,3.14123525604,0.952500387231,18.0975073574,-2.95104248195,6.13258110246,0.421052631579
