symbol,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_R_C1,winrate
Si,21,1.64394809475,0.310248251002,6.51521327104,-5.08557933828,0.380952380952
CNY,18,2.68246796919,0.720222174385,12.9639991389,-4.59506892187,0.444444444444
