group,mean_MAE_R,median_MAE_R,p75_MAE_R,p90_MAE_R,mean_MFE_R,median_MFE_R,p75_MFE_R,p90_MFE_R
all,0.592597953166,0.62836950324,1,1,1.94599570446,0.886177126923,2.07712413322,2.78552699624
winners,0.325553207398,0.251964844282,0.489272502976,0.843034283772,3.99668529775,2.21827090457,2.81600854142,8.34648211253
losers,0.778368211092,0.965710183704,1,1,0.519429030864,0.387212526122,0.724402920466,1.1936374724
