fold_id,net_R_C1,positive_R_C1,share_of_total_positive_R,share_of_total_net_R
WF01,-7.49494965558,1.80974160351,0.0485157250853,-0.384766565395
WF02,23.178045043,27.6828149458,0.742123536805,1.18988614915
WF03,3.79611702256,7.8096088893,0.209360738109,0.194880416244
