direction,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,118,1.99729648454,0.329007784983,38.822918628,-4.69669706651,8.2660044023,0.483050847458,6,7
SHORT,63,3.07784573687,0.530970970575,33.4511711462,-4.22869005199,7.9105280205,0.47619047619,7,8
