group,metric,trade_count,mean,median,p75,p90
ALL,MAE_R,181,0.451945236761,0.388586597914,0.710003951105,0.929461175358
ALL,MFE_R,181,1.67128681336,1.04916427175,2.35921626879,3.75280923925
WINNERS,MAE_R,87,0.265269670734,0.187139095211,0.363489746964,0.679185261564
WINNERS,MFE_R,87,2.9521300636,2.47367168018,3.42501891577,4.95254979088
LOSERS,MAE_R,94,0.62471943085,0.645179420956,0.817553140551,1
LOSERS,MFE_R,94,0.485825507277,0.463831559799,0.714273889184,0.976201512932
