parameter,value,configurations,positive_C1_share,mean_expectancy_C1
adx_threshold,15,1,1,0.265100234866
adx_threshold,20,16,1,0.261625623745
adx_threshold,25,1,1,0.287553690393
adx_threshold,30,1,1,0.243836344289
confirmation_window,2,1,1,0.264354881709
confirmation_window,3,17,1,0.260940597394
confirmation_window,4,1,1,0.282155212067
ema_fast,15,1,1,0.240059486367
ema_fast,20,16,1,0.269303884268
ema_fast,25,1,1,0.224423840621
ema_fast,30,1,1,0.209154774198
ema_slow,150,1,1,0.265168042713
ema_slow,200,17,1,0.261196764506
ema_slow,250,1,1,0.276987210153
ema_trend,40,1,1,0.26489566852
ema_trend,50,17,1,0.261474901705
ema_trend,60,1,1,0.272531251974
impulse_distance_atr,0.3,1,1,0.255297004548
impulse_distance_atr,0.5,17,1,0.26127087762
impulse_distance_atr,0.7,1,1,0.28559832539
max_initial_stop_atr,2,1,1,0.332735854929
max_initial_stop_atr,2.5,1,1,0.312202569418
max_initial_stop_atr,3,17,1,0.255150695596
trailing_atr,2,1,1,0.132576109131
trailing_atr,3,17,1,0.268057295985
trailing_atr,4,1,1,0.292950108597
