parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
ema_fast,15,1,1,0.526141675779,0
ema_fast,20,16,1,0.53043824258,0.244844881989
ema_fast,25,1,1,0.217094130943,0
ema_fast,30,1,0,-0.362093821258,0
ema_trend,40,1,1,0.29552944279,0
ema_trend,50,17,0.941176470588,0.474074577204,0.320341742522
ema_trend,60,1,1,0.513356611472,0
ema_slow,150,1,1,0.681031983929,0
ema_slow,200,17,0.941176470588,0.456872231817,0.318746368899
ema_slow,250,1,1,0.420293941927,0
adx_threshold,15,1,1,0.195892437205,0
adx_threshold,20,16,0.9375,0.494004287899,0.323803912816
adx_threshold,25,1,1,0.369511033414,0
adx_threshold,30,1,1,0.398681789731,0
impulse_distance_atr,0.3,1,1,0.522599881323,0
impulse_distance_atr,0.5,17,0.941176470588,0.466191767264,0.322821947613
impulse_distance_atr,0.7,1,1,0.420293941927,0
confirmation_window,2,1,1,1.07015892203,0
confirmation_window,3,17,0.941176470588,0.443473667797,0.282886820434
confirmation_window,4,1,1,0.258942592156,0
max_initial_stop_atr,2,1,1,0.943315276241,0
max_initial_stop_atr,2.5,17,0.941176470588,0.43790151802,0.300535695203
max_initial_stop_atr,3,1,1,0.480512784153,0
trailing_atr,2,1,1,0.580217894276,0
trailing_atr,3,17,0.941176470588,0.433620974452,0.301293410215
trailing_atr,4,1,1,0.916379406778,0
