configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,2023_trades,2023_expectancy_C1,2024_trades,2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,expectancy_C1_without_top3,net_R_without_top5,expectancy_C1_without_top5,PF_C1_without_best_trade,PF_C1_without_top3,PF_C1_without_top5,Si_PF_C1,Si_net_R_C1,Si_max_DD_C1,Si_recovery_factor_C1,Si_win_rate_C1,CNY_PF_C1,CNY_net_R_C1,CNY_max_DD_C1,CNY_recovery_factor_C1,CNY_win_rate_C1,2023_PF_C1,2023_net_R_C1,2023_max_DD_C1,2023_recovery_factor_C1,2023_win_rate_C1,2024_PF_C1,2024_net_R_C1,2024_max_DD_C1,2024_recovery_factor_C1,2024_win_rate_C1,LONG_PF_C1,LONG_net_R_C1,LONG_max_DD_C1,LONG_recovery_factor_C1,LONG_win_rate_C1,SHORT_PF_C1,SHORT_net_R_C1,SHORT_max_DD_C1,SHORT_recovery_factor_C1,SHORT_win_rate_C1
T2-H4-0000-5553cde1a914,24,1.32692710572,0.195892437205,4.70141849291,-9.62098633883,0.488662838439,0.333333333333,12,0.201656399235,12,0.190128475175,5,-0.417489053979,19,0.357308619095,12,0.0276397149593,12,0.36414515945,0.457474092502,0.731739268972,0.940793809637,1,-4.02812537205,-0.175135885741,-9.26166739741,-0.441031780829,-13.2508567588,-0.697413513619,0.719892332212,0.3559624354,0.0785622988189,1.44295051692,2.41987679082,-3.86900182886,0.625452480474,0.5,1.25584859795,2.28154170209,-5.75198450997,0.396652963536,0.166666666667,0.542119617394,-2.08744526989,-4.55893143535,-0.457880382606,0.2,1.69121060225,6.78886376281,-5.06205490348,1.34112803837,0.368421052632,1.04887297442,0.331676579512,-5.6297906629,0.0589145492918,0.333333333333,1.57541051153,4.3697419134,-4.64869956518,0.939992325195,0.333333333333
T2-H4-0001-3cda411fac32,11,3.21340624382,1.07015892203,11.7717481423,-4.6608818229,2.52564827635,0.454545454545,5,0.878633235043,6,1.22976366118,2,0.730454199907,9,1.14564886028,6,0.551667373981,5,1.69234877968,0.510794353006,0.817026128014,1,1,3.04220427733,0.304220427733,-2.19133774803,-0.273917218504,-5.31838571215,-0.886397618691,1.57201648056,0.587969382696,0,3.93292315775,4.39316617521,-1.00238999458,4.38269156613,0.6,2.93131015099,7.37858196708,-3.82050597275,1.93131015099,0.333333333333,2.44561700196,1.46090839981,-1.01057776564,1.44561700196,0.5,3.39352354388,10.3108397425,-3.65030405726,2.82465229766,0.444444444444,2.44634521253,3.31000424389,-2.28852988568,1.44634521253,0.5,3.79278763844,8.46174389841,-3.02985582646,2.79278763844,0.4
T2-H4-0002-2d018223b5df,22,1.87520638116,0.526141675779,11.5751168671,-7.3575795565,1.57322347359,0.363636363636,11,0.339320074681,11,0.712963276876,7,0.811011093742,15,0.393202614062,13,0.424630229749,9,0.672769320044,0.351987767058,0.693804509829,0.887655909571,1,2.84557300217,0.135503476294,-5.6317223162,-0.296406437695,-10.4393731942,-0.614080776128,1.21515667428,0.574179737049,0.210668355257,1.68342681341,3.7325208215,-3.20457948323,1.16474590224,0.454545454545,2.01010920602,7.84259604563,-4.15300007327,1.88841702559,0.272727272727,2.1839177992,5.67707765619,-3.77830541014,1.50254599349,0.428571428571,1.69961362974,5.89803921094,-3.57927414637,1.64783108802,0.333333333333,1.72110881794,5.52019298673,-4.0308062262,1.36950095761,0.384615384615,2.08697408528,6.0549238804,-3.98427721955,1.51970446501,0.333333333333
T2-H4-0003-f6822266078f,20,2.26609894021,0.681031983929,13.6206396786,-7.3575795565,1.85123919816,0.4,11,0.792668538038,9,0.544587306684,5,0.865647107458,15,0.619493609419,11,0.687792345289,9,0.672769320044,0.358082275737,0.702528278274,0.905207293388,1,4.89109581362,0.257426095453,-3.50601482827,-0.206236166369,-8.44704506859,-0.563136337906,1.45464907466,0.674100353346,0.214809651994,2.95494363106,8.71935391842,-3.20457948323,2.7209042447,0.545454545455,1.77825336845,4.90128576016,-4.15300007327,1.18017955061,0.222222222222,2.14554941103,4.32823553729,-3.77830541014,1.14554941103,0.4,2.33135618747,9.29240414129,-3.57927414637,2.59616999461,0.4,2.45844606516,7.56571579818,-4.0308062262,1.87697333327,0.454545454545,2.08697408528,6.0549238804,-3.98427721955,1.51970446501,0.333333333333
T2-H4-0004-b6d0084e4f65,18,1.53171619523,0.29552944279,5.31952997023,-7.75918981493,0.685578017435,0.277777777778,9,-0.00881855354325,9,0.599877439124,4,-0.32670481117,14,0.473310658208,10,0.0729530501796,8,0.573749933554,0.569665443758,0.892103159636,1,1,-3.41001389473,-0.200589052631,-8.35104413506,-0.556736275671,-10.0044535373,-0.769573349024,0.659150409163,0.165267337799,0,0.981122258433,-0.0793669818892,-4.07049843382,-0.0194980991099,0.333333333333,1.9308136514,5.39889695211,-4.15300007327,1.29999924316,0.222222222222,0.65412556614,-1.30681924468,-3.77830541014,-0.34587443386,0.25,2.06427747615,6.62634921491,-3.98088440479,1.66454198141,0.285714285714,1.1272922773,0.729530501796,-4.57443285137,0.159479989214,0.3,2.07410907853,4.58999946843,-3.18475696356,1.44124010747,0.25
T2-H4-0005-d585df88c9ab,20,1.9715595912,0.522599881323,10.4519976265,-7.3575795565,1.42057555018,0.4,11,0.504610169665,9,0.544587306684,4,-0.32670481117,16,0.734926054447,11,0.399733976915,9,0.672769320044,0.411577651104,0.658326962073,0.891045823341,1,1.72245376151,0.0906554611319,-3.51108826386,-0.206534603757,-8.44704506859,-0.563136337906,1.16010972564,0.673628754979,0.214809651994,2.2445106498,5.55071186631,-3.20457948323,1.73211864313,0.545454545455,1.77825336845,4.90128576016,-4.15300007327,1.18017955061,0.222222222222,0.65412556614,-1.30681924468,-3.77830541014,-0.34587443386,0.25,2.68472801663,11.7588168711,-3.57927414637,3.28525181093,0.4375,1.84762566745,4.39707374607,-4.0308062262,1.09086706215,0.454545454545,2.08697408528,6.0549238804,-3.98427721955,1.51970446501,0.333333333333
T2-H4-0006-62a6c15a0bef,13,3.10599747829,0.943315276241,12.2630985911,-4.23677803561,2.89443971057,0.461538461538,7,0.633521470734,6,1.30474138267,1,2.47148616546,12,0.81596770214,5,1.03951938902,8,0.883187705755,0.482667525355,0.772036685681,0.992604012794,1,3.53355472617,0.294462893848,-1.6999872992,-0.16999872992,-5.68917666054,-0.711147082567,1.60683336168,0.708053479419,0.0229719176115,2.80836286229,4.43465029513,-2.45230113248,1.80836286229,0.571428571429,3.32254085966,7.828448296,-1.78447690313,4.38697092816,0.333333333333,,2.47148616546,0,,1,2.68155796217,9.79161242568,-4.23677803561,2.31109875084,0.416666666667,5.11502262834,5.19759694509,-1.26307858171,4.11502262834,0.6,2.54949894196,7.06550164604,-2.9736994539,2.37599722351,0.375
T2-H4-0007-5e693919b60a,19,2.42472166917,0.580217894276,11.0241399912,-6.10436013835,1.80594521643,0.315789473684,10,0.518075757044,9,0.649264713423,4,-0.0812108399202,15,0.756598890062,10,0.0147062303173,9,1.20856418756,0.537906854289,0.89405356303,0.988951466092,1,0.931990804942,0.0517772669412,-5.74999453911,-0.359374658695,-7.53045854981,-0.537889896415,1.12044726358,0.256890621492,0.0267896195791,2.57868499266,5.18075757044,-3.04991721926,1.69865514307,0.4,2.31133442025,5.8433824208,-3.05444291909,1.91307632049,0.222222222222,0.906653018183,-0.324843359681,-3.47995568103,-0.0933469818169,0.25,3.66546072825,11.3489833509,-2.62440445732,4.32440332102,0.333333333333,1.03318696818,0.147062303173,-3.6653961079,0.0401218037133,0.3,4.28968115615,10.8770776881,-2.46344721856,4.41538897449,0.333333333333
T2-H4-0008-2b0494cdd24b,19,1.74229557592,0.420293941927,7.98558489661,-7.3575795565,1.08535488271,0.368421052632,10,0.308429913645,9,0.544587306684,4,-0.32670481117,15,0.619493609419,10,0.193066101621,9,0.672769320044,0.465736053499,0.744954446398,0.957784502419,1,-0.743958968354,-0.0413310537975,-5.97750099372,-0.373593812108,-9.96669035507,-0.711906453933,0.930845710361,0.444364739698,0.0735518746708,1.69152267582,3.08429913645,-3.20457948323,0.962466105955,0.5,1.77825336845,4.90128576016,-4.15300007327,1.18017955061,0.222222222222,0.65412556614,-1.30681924468,-3.77830541014,-0.34587443386,0.25,2.33135618747,9.29240414129,-3.57927414637,2.59616999461,0.4,1.3721742975,1.93066101621,-4.0308062262,0.478976390296,0.4,2.08697408528,6.0549238804,-3.98427721955,1.51970446501,0.333333333333
T2-H4-0009-02b46f097e21,18,2.59592043459,0.916379406778,16.494829322,-7.48892820542,2.20256208493,0.333333333333,9,1.53535879309,9,0.297400020467,4,1.02653254779,14,0.884907080773,9,1.50329860419,9,0.329460209365,0.293861467209,0.837859786253,0.984580993688,1,8.61039372068,0.506493748276,-5.98532634588,-0.399021756392,-9.92192246501,-0.763224805001,1.83307944693,0.420903094137,0.0400265135658,4.29138508314,13.8182291378,-3.49641112878,3.95211793718,0.444444444444,1.43611878483,2.6766001842,-3.99251707664,0.670404191847,0.222222222222,2.08676502968,4.10613019118,-3.77830541014,1.08676502968,0.25,2.88929422315,12.3886991308,-3.71062279528,3.33871153559,0.357142857143,4.05482088564,13.5296874377,-3.87032322957,3.49575129394,0.444444444444,1.50199986248,2.96514188428,-4.03230386416,0.735346835003,0.222222222222
