direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,54,1.7413631533,0.303642522968,16.3966962403,-5.33955703796,3.07079709491,0.407407407407,4,9
SHORT,63,1.62379187022,0.271886123757,17.1288257967,-4.94241864364,3.4656768339,0.349206349206,4,6
