omitted_fold,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
WF01,93,1.86518227339,0.357099973193,33.2102975069,-6.50691086667,5.10385007378,0.408602150538,5,7
WF02,86,1.60244251552,0.25934177912,22.3033930043,-6.50691086667,3.42764692207,0.348837209302,4,10
WF03,86,1.55096316121,0.239292567026,20.5791607643,-5.69773849081,3.61181208956,0.383720930233,5,10
WF04,86,1.68066490569,0.284694358551,24.4837148354,-6.50691086667,3.7627247917,0.360465116279,5,10
