strategy,candidate_id,configuration_id,selection_status,tested_configurations,robust_plateau_configurations,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,concentration_top_1,average_MAE_R,average_MFE_R,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF
T2,T2_M15_candidate_v1,T2-M15-0014-26fb9b19bd4f,ROBUST_PLATEAU,19,2,328,1.54591586172,0.256141194826,84.014311903,-19.2133843545,4.37269719655,0.378048780488,485.533536585,16,0.0693757621359,0.434180942094,1.6589029144,0.217082809237,32.368055374,1.21032410361
T3,T3_M15_candidate_v1,T3-M15-0011-76dd2f3526c3,ROBUST_PLATEAU,22,9,401,1.6401650508,0.30296684734,121.489705784,-31.3013677528,3.88129064337,0.403990024938,663.329177057,12,0.0419819320762,0.653192295457,1.87610535386,0.14364636036,76.7771289087,1.40456131086
