symbol,trades,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
Si,10,1.69152267582,0.308429913645,3.08429913645,-3.20457948323,0.962466105955,0.5,2,3
CNY,9,1.77825336845,0.544587306684,4.90128576016,-4.15300007327,1.18017955061,0.222222222222,1,4
