scope,metric,trades,mean,std,min,p25,p50,p75,max
ALL,MAE_R,19,0.402077805487,0.258051709243,0.00919857333714,0.250766869398,0.341610724416,0.591007904775,0.859386158342
ALL,MFE_R,19,2.1413523113,3.23906555591,0.102738274152,0.50952933414,0.863183492107,2.37076736148,14.3162634088
WINNERS,MAE_R,7,0.378386175929,0.224851233461,0.0260041519583,0.250766869398,0.30149287377,0.536682119392,0.746308228194
WINNERS,MFE_R,7,4.87207028253,4.06574634288,1.39049006727,2.37076736148,4.07350371671,4.79135003097,14.3162634088
LOSERS,MAE_R,12,0.415897922729,0.274635435173,0.00919857333714,0.25684380388,0.405177050116,0.6400693515,0.859386158342
LOSERS,MFE_R,12,0.548433494752,0.285902929296,0.102738274152,0.276782697021,0.562214033983,0.738243567541,0.979215078188
