analysis,omitted_period,trades,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
leave_one_quarter_out,2023Q2,18,1.51255996227,0.306338818397,5.51409873115,-7.3575795565,0.74944466299,0.333333333333,2,6
leave_one_quarter_out,2023Q4,16,2.68545490601,0.735243144172,11.7638903067,-3.57927414637,3.2866692591,0.4375,2,3
leave_one_quarter_out,2024Q1,16,2.19467649289,0.637692804462,10.2030848714,-5.14007958172,1.98500523371,0.4375,2,3
leave_one_quarter_out,2024Q2,14,0.754626490127,-0.153160046906,-2.14424065669,-7.58196812563,-0.282807922845,0.285714285714,2,8
leave_one_quarter_out,2024Q3,16,2.02902244154,0.589873970096,9.43798352154,-7.3575795565,1.28275657083,0.375,3,6
leave_one_quarter_out,2024Q4,15,1.53671238179,0.343540513926,5.15310770889,-7.3575795565,0.700380834393,0.333333333333,2,6
leave_one_year_out,2023,15,2.33135618747,0.619493609419,9.29240414129,-3.57927414637,2.59616999461,0.4,2,3
leave_one_year_out,2024,4,0.65412556614,-0.32670481117,-1.30681924468,-3.77830541014,-0.34587443386,0.25,1,3
leave_one_half_year_fold_out,2023-H1,18,1.51255996227,0.306338818397,5.51409873115,-7.3575795565,0.74944466299,0.333333333333,2,6
leave_one_half_year_fold_out,2023-H2,16,2.68545490601,0.735243144172,11.7638903067,-3.57927414637,3.2866692591,0.4375,2,3
leave_one_half_year_fold_out,2024-H1,11,1.01123405802,0.00665993800912,0.0732593181003,-5.36446815084,0.0136563991137,0.363636363636,2,5
leave_one_half_year_fold_out,2024-H2,12,1.82413444333,0.550458861152,6.60550633382,-7.3575795565,0.897782522512,0.333333333333,2,6
