year,trades,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
2023,4,0.65412556614,-0.32670481117,-1.30681924468,-3.77830541014,-0.34587443386,0.25,1,3
2024,15,2.33135618747,0.619493609419,9.29240414129,-3.57927414637,2.59616999461,0.4,2,3
