direction,trades,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,10,1.3721742975,0.193066101621,1.93066101621,-4.0308062262,0.478976390296,0.4,2,4
SHORT,9,2.08697408528,0.672769320044,6.0549238804,-3.98427721955,1.51970446501,0.333333333333,2,4
