rule_id,fold,validation_events,GROSS_PF,GROSS_expectancy,BASE_PF,BASE_expectancy,STRESS_PF,STRESS_expectancy,executed_trades,max_drawdown
R001,F1,47,0.004223490542380305,-6.67450907471039,0.0,-7.245157825058052,0.0,-7.81580657540673,15.0,50.716104775406365
R001,F2,40,0.3043786338203665,-3.7187880715411294,0.2691020574191794,-4.030910108001106,0.2359234004854007,-4.343032144461637,16.0,20.19839424820858
R001,F3,46,0.8837194645845087,-0.2895060977130449,0.7496082246453613,-0.6882359858477639,0.6385878421596417,-1.0869658739831913,17.0,18.333218257283605
R001,F4,31,9.142556956234712,1.2706207103397,4.197696715372056,0.900714931470073,1.935964290045166,0.5308091525997891,13.0,1.4083807997489748
R002,F1,33,2.613486238619771,1.9871430581316412,2.218207371351723,1.645118731831651,1.8868804828714638,1.3030944055310532,13.0,7.761711008882112
R002,F2,42,3.809502424025368,2.5340231257781154,3.2220448506634445,2.214547861046983,2.736519873737084,1.895072596315283,18.0,6.239328121283879
R002,F3,55,1.2287801551795297,0.1618198559244264,0.7958266730083295,-0.18319484153413115,0.5211975636711357,-0.5282095389933013,20.0,7.9034316033263154
R002,F4,17,81.93209044631966,2.9437008211686844,11.014350431803775,2.453735451341036,5.328617989973057,1.9637700815125172,9.0,0.951331421787132
R003,F1,36,2.418977139097412,3.3333189738643356,2.070737760380708,2.8159334676809746,1.784831400837936,2.2985479614966935,11.0,23.510821737458436
R003,F2,11,0.4843382664517565,-1.433460758608054,0.4097872774514625,-1.7350624209065544,0.34292693895506593,-2.036664083205591,5.0,14.698619282676233
R003,F3,54,1.8386074331396678,0.7993886971180013,1.2153132999548661,0.26364634607723214,0.8243479283226773,-0.2720960049644888,20.0,13.702150034272936
R003,F4,63,0.6459004155907393,-0.9490497097228133,0.46638114922595936,-1.6834748029498798,0.34671833742046554,-2.4178998961782505,21.0,44.894652728880764
R004,F1,16,12.227033757389307,5.56756699617453,6.847873195122346,4.774457091465776,4.2408501859635575,3.98134718675815,6.0,4.898660007314903
R004,F2,44,0.800948629275984,-0.5106950707103276,0.6065270561558551,-1.172722886736286,0.46627473735318714,-1.8347507027613028,15.0,19.538537923843933
R004,F3,53,2.347387075959692,1.150761996632984,1.2810229257476913,0.34569392304516977,0.7412406334703052,-0.45937415054149994,15.0,9.767296856195474
R004,F4,36,2.624225655207041,0.9396542540420447,0.9509436342104435,-0.051475825594275805,0.3585201664843083,-1.0426059052291878,12.0,8.652800793408236
R005,F1,9,2.6077489492528443,1.5139537712994646,1.9700387150940282,1.0095995334221368,1.4095788276685997,0.5052452955455257,5.0,5.203913605264064
R005,F2,26,0.9952986772397353,-0.009648582038079272,0.8352444142103098,-0.3699739556701151,0.7020313736039511,-0.7302993293016385,15.0,21.743568141588963
R005,F3,12,0.5822731422932431,-0.6208415678991779,0.38059936940995115,-1.1569746559589948,0.25677116722254056,-1.69310774401805,7.0,8.29828046317792
R005,F4,0,,,,,,,,
R006,F1,21,0.24802631239665712,-2.708145981504327,0.18209933894926034,-3.2514072367408957,0.12750847850683175,-3.7946684919766933,7.0,24.02132485900717
R006,F2,32,1.5407963556576174,1.3158763617059155,1.344523985089687,0.9019422723072391,1.173164432767496,0.48800818290915077,13.0,23.429674130456164
R006,F3,34,0.5377225538725076,-0.9610168444055311,0.3970387588400954,-1.4065090529592104,0.2910751631996066,-1.8520012615122563,13.0,18.62190146043411
R006,F4,2,inf,7.330858740648129,inf,6.856660707916323,inf,6.38246267518519,2.0,-0.0
R007,F1,52,1.4257375789444218,1.213459283944612,1.2457463205589963,0.7629410959086467,1.093012783836952,0.31242290787187876,15.0,20.410882205327106
R007,F2,83,2.121967255842062,1.7876681164535233,1.794067930387292,1.4031221065347164,1.5216524869225518,1.0185760966152269,32.0,26.070347130333353
R007,F3,45,0.1739307124045655,-3.2995725627177017,0.13394807254119412,-3.6299370544602776,0.10287195120689188,-3.96030154620344,18.0,33.32287307753218
R007,F4,32,0.0874024460211263,-3.4529786014437533,0.05738773736332322,-3.8881252472920766,0.04196480084900299,-4.3232718931411735,10.0,31.105001978336613
R008,F1,7,5.246858010802267,3.88105350931549,4.488313889552868,3.4914512939835083,3.851136827702271,3.101849078650834,6.0,4.00359761710669
R008,F2,23,1.1721981653751559,0.30936925754119804,0.932343029446803,-0.1363148746897047,0.7393645175845438,-0.5819990069213992,11.0,5.416623607203188
R008,F3,37,2.304286345598017,1.0192920339450933,1.481635914880087,0.4992487588027232,0.9843995712376673,-0.02079451634057045,20.0,9.184876289807352
R008,F4,12,4.200507823270655,1.317049514516795,1.690512304888746,0.6119137138419685,0.9314963746026443,-0.09322208683411048,7.0,2.6585205339992832
R009,F1,11,inf,14.740585844185967,inf,14.29275871063961,inf,13.844931577092455,6.0,-0.0
R009,F2,27,2.628148898931039,1.0016416476840408,1.2363787124061723,0.2601872644284398,0.696599068149012,-0.4812671188261079,7.0,6.615179334456728
R009,F3,33,0.28166405384174403,-2.2832641708215204,0.11107023288893551,-3.1412976726792174,0.03441156969957698,-3.9993311745384377,9.0,17.668986847454384
R009,F4,26,0.3034738265889139,-1.4393451542131201,0.0489715348188187,-2.8115277258484688,0.0,-4.183710297486255,8.0,11.246110903393875
R010,F1,15,85.63559773599609,7.733873168161665,48.85529630055184,7.2882412348456285,33.0923099710504,6.8426093015288005,7.0,1.0660823897841176
R010,F2,18,0.7811157251574564,-0.7608363630205006,0.676847747531681,-1.2070480574327778,0.5861144164876049,-1.6532597518458472,9.0,28.881312080541807
R010,F3,37,1.1900744633962583,0.3319331221567092,0.877405034734056,-0.2397528959823792,0.6340511345925206,-0.8114389141224829,15.0,22.581388603716533
R010,F4,9,0.5783004417044544,-1.006285677206602,0.3456773427863108,-1.9437218686445732,0.21509944593814034,-2.881158060084209,5.0,14.852931097644927
R011,F1,11,inf,1.658921478374028,inf,1.2591732322960016,6.50514088456745,0.8594249862185434,3.0,-0.0
R011,F2,11,0.7158170159862615,-1.0506444689316923,0.6467523598581039,-1.3736321892321322,0.5841712067668328,-1.6966199095321126,5.0,17.914136931160037
R011,F3,1,0.0,-6.094565726174463,0.0,-6.514880603841874,0.0,-6.9351954815086865,1.0,6.514880603841874
R011,F4,0,,,,,,,,
R012,F1,7,inf,2.8274997338998453,inf,2.1996111465759522,inf,1.5717225592529516,3.0,-0.0
R012,F2,0,,,,,,,,
R012,F3,15,0.20962218230274415,-1.750895855234763,0.06073188408268624,-2.3939461692222954,0.0,-3.0369964832089136,4.0,9.913068448853558
R012,F4,16,1.116957162711849,0.11234643850050173,0.2958537860012617,-1.1892195443990592,0.11796053780363991,-2.4907855272967705,6.0,10.133289258027794
R013,F1,12,inf,14.89298917346691,inf,14.247762072089415,inf,13.602534970712838,3.0,-0.0
R013,F2,35,2.0811136223287683,1.0246245253948691,1.4481390393627278,0.5495918530680496,1.0491012720772055,0.07455918074190553,15.0,9.796457495004647
R013,F3,22,0.7384832420048566,-0.33036793612973386,0.4360966795725219,-0.9401875754080842,0.25167194778566965,-1.5500072146855672,9.0,9.321784585296246
R013,F4,10,6.329054489015362,2.0750647527971333,3.58602695013213,1.3426205055235563,1.940210426804373,0.6101762582510204,4.0,2.0767308793204293
R014,F1,9,0.36510481610684725,-1.8330659760322219,0.23009648731888557,-2.5612284601081035,0.15694650054599224,-3.2893909441829514,4.0,13.30675035467171
R014,F2,60,3.70127432454602,2.5186727884726356,2.6669838271932336,1.8956124752105332,1.9399708661559159,1.2725521619493163,20.0,8.000890536545125
R014,F3,46,4.1553010371639285,1.5705086483963209,1.8506484800610215,0.7932876122924732,1.010598695169453,0.016066576189730196,11.0,3.909988368115734
R014,F4,7,0.6547965955905071,-0.3183362789188089,0.14868314005067773,-1.1524596624160242,0.0,-1.9865830459120535,5.0,6.768688115049362
R015,F1,12,2.3481418396269804,2.0671501698158394,2.023868507753265,1.736873754750551,1.756465172220774,1.4065973396846752,10.0,4.849205356996892
R015,F2,23,inf,6.5471080013981195,228.92096544232888,6.209058758852337,72.83730573047002,5.871009516305954,13.0,0.19069510006513113
R015,F3,25,1.401991302223062,0.7992564786057585,1.2024088371113062,0.44051505691386195,1.0345841601267811,0.08177363522132879,14.0,10.881813837792546
R015,F4,3,inf,2.9900563807977276,inf,2.20817090892393,inf,1.4262854370512426,2.0,-0.0
R016,F1,16,inf,8.244050552678253,inf,7.900548446316851,inf,7.557046339954837,4.0,-0.0
R016,F2,6,0.0,-2.127423463999223,0.0,-2.4845445109710713,0.0,-2.8416655579435544,5.0,4.969089021942143
R016,F3,3,inf,3.902514260537117,inf,3.3821790257991426,inf,2.8618437910602443,3.0,-0.0
R016,F4,6,1.334123423463196,0.3612499719489594,1.0214056205884081,0.025579639324546544,0.7630735225609652,-0.3100906933004628,4.0,3.584989169395823
R017,F1,15,19.376813486832575,8.774353082261408,12.014613462291198,8.209622610653387,8.545222731863227,7.6448921390443605,5.0,3.726695738692616
R017,F2,20,inf,3.011175822139205,inf,2.7493344463011544,inf,2.4874930704626395,7.0,-0.0
R017,F3,67,3.2095774423353927,0.7527536401519239,2.1545157693584467,0.4881279904458056,1.4426488899794403,0.22350234073921724,18.0,1.2893337723037677
R017,F4,38,1.2662553184305174,0.4126458194717833,0.7927678905387159,-0.43727960506507346,0.5258782654849176,-1.2872050296034396,16.0,23.146486705313738
R018,F1,1,inf,6.099950846650127,inf,5.770223773858402,inf,5.440496701066092,1.0,-0.0
R018,F2,26,inf,8.1678231820486,inf,7.878387914544811,inf,7.588952647040507,10.0,-0.0
R018,F3,39,0.43119765217531325,-1.7866561588671093,0.3215926850408002,-2.3290600053876114,0.240851047639433,-2.871463851909077,13.0,37.2751826578353
R018,F4,0,,,,,,,,
R019,F1,11,1.2912537263839237,0.49172814317747626,1.0663734856632496,0.12599861356608835,0.8862939769312326,-0.2397309160459491,5.0,5.694982520822438
R019,F2,60,3.939206000347744,2.7408950575946927,3.392220996975997,2.4209225822831177,2.9248870636328497,2.1009501069709753,30.0,6.393046087804268
R019,F3,21,0.23030211716847265,-0.8919071831287508,0.13423271346152918,-1.2294533843619726,0.06802315272445948,-1.566999585595794,11.0,7.100368675730399
R019,F4,4,0.7998916890713235,-0.27988824453886174,0.49084262738454626,-0.8704057362702727,0.2768855846786044,-1.4609232280008442,2.0,3.4190047442469442
R020,F1,9,6.378891753706867,6.79739542850325,5.331037978715259,6.330519252514559,4.53314544354018,5.86364307652504,8.0,10.456200797805183
R020,F2,7,6.368649898285861,2.9958684267296163,5.095795037200275,2.691516854748348,4.156570313932265,2.387165282766539,7.0,4.599990432167022
R020,F3,30,0.9945291099573456,-0.010713539037495627,0.7334398523904471,-0.5853711527438412,0.5297744502976465,-1.160028766451208,21.0,25.65594733006656
R020,F4,6,inf,3.9934671183940242,inf,3.2698408074664957,12.941182561371926,2.546214496537681,6.0,-0.0
R021,F1,0,,,,,,,,
R021,F2,12,40.089049517678646,6.454416624553919,32.6368708188651,6.173707836250533,27.171939773059137,5.892999047946647,7.0,1.3659996622669779
R021,F3,0,,,,,,,,
R021,F4,0,,,,,,,,
R022,F1,4,3.5865688730235474,2.183440769954771,2.7545827305748447,1.7773479800909053,2.160306914539061,1.3712551902263181,4.0,4.051898948096
R022,F2,5,7.598990741899962,5.3821559130179395,6.848601028143155,5.151746766238713,6.201713343868927,4.921337619459077,3.0,2.6425533600849747
R022,F3,6,1.767523321526101,0.42459796762720853,1.123772528219576,0.09231038124071468,0.7442720253105498,-0.23997720514636925,4.0,2.715744705525527
R022,F4,2,5.482336241132691,1.3929944420345228,3.4848959052167356,1.1583622910424614,2.4861757372572066,0.9237301400499831,2.0,0.9323225883310613
R023,F1,6,0.9093295268067392,-0.10821871240910798,0.6003017951552101,-0.5224890812038421,0.390909456188156,-0.9367594499979875,4.0,5.228835905397514
R023,F2,5,inf,4.098568573944335,inf,3.749601354232523,inf,3.400634134521208,3.0,-0.0
R023,F3,7,2.872124763730563,1.2993731125702186,2.1479820220840025,0.8963687289287865,1.514339917436967,0.49336434528792716,4.0,3.1232849005825134
R023,F4,1,inf,7.437841338665329,inf,7.146161286168503,inf,6.854481233672092,1.0,-0.0
R024,F1,7,inf,2.8274997338998453,inf,2.1996111465759522,inf,1.5717225592529516,3.0,-0.0
R024,F2,0,,,,,,,,
R024,F3,15,0.20962218230274415,-1.750895855234763,0.06073188408268624,-2.3939461692222954,0.0,-3.0369964832089136,4.0,9.913068448853558
R024,F4,12,1.3301007236213218,0.277000512393362,0.3513255119430235,-1.1070690176336297,0.1382732032806739,-2.4911385476586547,5.0,8.533317079801588
R025,F1,4,inf,16.211025864807866,inf,15.257436108053986,inf,14.303846351301457,1.0,-0.0
R025,F2,9,41.98269386356914,6.632850282334108,20.172073684651036,6.2014181270487825,12.894993513136736,5.769985971764069,6.0,1.0898751201487225
R025,F3,18,1.6897847428124755,0.6794875680533008,0.9673810551626496,-0.04682785324234886,0.6086513330457497,-0.7731432745369663,10.0,8.555809373772998
R025,F4,3,inf,4.664718341696043,inf,3.3668725991473636,6.963843018533285,2.0690268566005297,2.0,-0.0
R026,F1,5,inf,5.70834821987383,27.657237238812264,4.818836460327754,8.245520891445658,3.929324700782941,3.0,0.5423108648309191
R026,F2,10,14.544072783686637,2.957967204708148,11.070576918682331,2.565932433273736,7.765351632474157,2.173897661839882,6.0,1.528769873261325
R026,F3,30,1.299305028475088,0.58561827727275,0.9298000790337061,-0.16303965527424907,0.6608792908479069,-0.9116975878201837,15.0,12.912490936362161
R026,F4,10,1.5212127550793748,0.4252409632617386,0.6629576660953769,-0.5408313812406405,0.37039474590840743,-1.5069037257416469,5.0,8.023196596331516
R027,F1,5,inf,7.13465801519676,35.80283656831246,6.369548511398786,11.207441154840437,5.6044390076019015,3.0,0.5490542558704696
R027,F2,37,1.6173573806934702,0.8243570204518795,1.062317675262056,0.11114161511782214,0.7355915694635143,-0.6020737902152212,14.0,18.82224197891492
R027,F3,12,1.014251929179963,0.03614778110702854,0.7153502746466961,-0.8775281903756718,0.5303066400973451,-1.791204161857074,8.0,15.747276574779715
R027,F4,3,2.074502414677949,1.3297573642325813,1.1525013414874063,0.2642206204279729,0.6402785230489113,-0.8013161233751214,2.0,3.4651579828862364
R028,F1,13,2.367766601517238,4.384194050117559,2.1449052788362777,3.8405320126279765,1.9410108772348347,3.2968699751391686,4.0,13.417815721949086
R028,F2,31,inf,3.786711202063083,77.61170811231791,3.2919087093108597,33.54815123157026,2.797106216559339,13.0,0.5585936441764368
R028,F3,17,2.7226541040526326,1.188243758863114,1.6364932277237574,0.6355744552298541,1.0634152387505897,0.08290515159737924,10.0,8.702801567905542
R028,F4,6,1.273581352986515,0.24033140077506854,0.7429224559085679,-0.2903572246133198,0.40523043049579627,-0.8210458500009539,2.0,2.2589077209330384
R029,F1,9,1.299782555604998,0.12655599166692078,0.6136689759047396,-0.2686754627130023,0.31467584064862125,-0.6639069170936274,8.0,2.781816069182713
R029,F2,9,1.618830193879012,1.3477114184719916,1.4402110465001041,1.0066433938786679,1.2778300034280856,0.6655753692847384,7.0,6.860187188953903
R029,F3,17,4.208106880111423,3.206207460088175,3.3168976931754965,2.6264180706635694,2.447235199242296,2.046628681237933,13.0,5.667962979979169
R029,F4,11,inf,3.6085469420283527,inf,2.6200294983283205,5.764680252918046,1.6315120546265323,6.0,-0.0
R030,F1,2,inf,9.509202539420867,inf,9.056383370877265,inf,8.603564202332858,2.0,-0.0
R030,F2,8,inf,5.287523785253412,inf,5.052494854253317,199.1740236038227,4.817465923252806,6.0,-0.0
R030,F3,32,3.0023433341890753,1.2966681072323785,1.908308261139471,0.8058508890900843,1.2725138203550426,0.3150336709469172,17.0,4.891622254147596
R030,F4,11,0.0,-2.5402218060625463,0.0,-2.8739647129137476,0.0,-3.207707619765542,3.0,5.747929425827495
R031,F1,13,inf,2.500616601655612,inf,2.2035158775929014,inf,1.9064151535296627,4.0,-0.0
R031,F2,2,inf,3.143907697530277,inf,2.724720004526439,inf,2.305532311521856,2.0,-0.0
R031,F3,18,0.762371470315521,-0.21419134487040234,0.512523690088639,-0.5769153508207637,0.35886034995207633,-0.9396393567717691,7.0,5.829270267006231
R031,F4,5,0.9488796230936509,-0.06240790341292324,0.4269958303923578,-1.3990502823393238,0.25303456615828446,-2.7356926612680983,4.0,4.883211524611791
R032,F1,21,16.797607386776622,2.442913531600287,4.462476680895423,1.7823104104883907,2.2821532349777636,1.121707289375321,7.0,2.0590006226727535
R032,F2,29,2.3070067145361715,2.5092596115567134,2.0124596125076217,2.112796449274212,1.761549118186571,1.7163332869910082,10.0,6.260387347327319
R032,F3,54,11.715274200474024,3.964034006189352,6.671828443588135,3.147374543153191,3.9763686646543523,2.33071508011558,19.0,4.439308522049846
R032,F4,22,0.2452136458083084,-2.928508782431919,0.14457419938563615,-3.503180800008111,0.07254987578181946,-4.077852817585325,11.0,32.343666366465676
R033,F1,11,29.90963170943598,8.334969907558285,12.116049392370764,7.682775595551421,7.426643376500582,7.0305812835433965,6.0,3.455713142487615
R033,F2,24,19.231989297308367,6.751361819894676,16.09732796020131,6.450677385108186,13.700233996527137,6.149992950321163,14.0,3.4181822913898854
R033,F3,37,0.9898269505867974,-0.019583160500566358,0.7929734926232219,-0.4291554973344027,0.6255355262292364,-0.8387278341689672,19.0,21.513110854204687
R033,F4,18,4.588908440484483,1.7280416920580377,2.2484556758105723,1.0165999713995166,1.2453842694919879,0.3051582507397319,8.0,3.3334273522971065
R034,F1,10,inf,11.9911170099503,inf,11.451539103741744,inf,10.911961197532229,6.0,-0.0
R034,F2,31,5.508682328595091,3.5869726905714088,4.38480999322244,3.137037972429414,3.4656618423406607,2.6871032542866202,24.0,5.3700979347773234
R034,F3,5,0.0,-1.9706554450930813,0.0,-2.5336998579765333,0.0,-3.096744270860985,5.0,2.5336998579765333
R034,F4,2,inf,2.2375910289422625,inf,1.6781932717063988,inf,1.11879551447133,1.0,-0.0
R035,F1,5,15.971614083578826,9.914926469524367,12.012664956317503,9.446266747543362,9.523480077770579,8.977607025561525,5.0,3.051714058325006
R035,F2,5,inf,7.487925030725046,inf,7.18263540170094,inf,6.877345772676293,5.0,-0.0
R035,F3,25,2.7346201351488153,1.5856709644730713,1.8950152022955273,1.0280598545592707,1.337305329278157,0.47044874464447983,18.0,10.58583981225863
R035,F4,7,29.983478276420335,3.572921615624417,15.432643638077797,2.9652930733663614,6.868053739162831,2.357664531107226,6.0,1.2327442488261795
R036,F1,2,4.327779560937645,2.345231713443439,3.411537942180982,2.039419435071327,2.757079643067984,1.7336071566986717,2.0,1.6913849037157478
R036,F2,14,15.640906050909612,4.973334535708536,13.052308076403383,4.721660787212238,11.07115763166784,4.469987038715492,13.0,2.6425533600849747
R036,F3,4,1.1996738738010662,0.15918692001007087,0.9048358674313068,-0.08601034227814151,0.6721970893322514,-0.33120760456678944,4.0,3.6152420016461937
R036,F4,3,2.078396338082043,1.0955271824283241,1.5519038878660583,0.7008232977946472,1.2008958697375902,0.30611941316026936,3.0,3.3334273522971065
R037,F1,10,0.1770482051149153,-1.5900915425398674,0.05865708406633394,-2.2312191692224643,0.01587835469366083,-2.872346795904151,5.0,11.851255963452179
R037,F2,1,0.0,-0.35334856878106213,0.0,-0.7066971375623753,0.0,-1.0600457063431863,1.0,0.7066971375623753
R037,F3,9,9.900423140336535,2.747731467453017,5.121108131035145,2.124834158604402,2.9287987018795643,1.501936849756672,6.0,3.093586614633211
R037,F4,9,4.220986604718017,2.696909163683452,2.800448961993295,1.8525088110990968,1.729481035904856,1.0081084585159417,7.0,3.7905079930801464
R038,F1,4,inf,1.4470932242276042,inf,1.046293193527382,5.134777157256233,0.6454931628277291,3.0,-0.0
R038,F2,5,inf,4.098568573944335,inf,3.749601354232523,inf,3.400634134521208,3.0,-0.0
R038,F3,6,2.4150095534689604,0.9821062161176423,1.753276600721783,0.588174358249117,1.2025007939122276,0.19424250038115176,4.0,3.1232849005825134
R038,F4,1,inf,7.437841338665329,inf,7.146161286168503,inf,6.854481233672092,1.0,-0.0
R039,F1,5,inf,3.2409566602055104,inf,2.873159976795673,inf,2.5053632933863588,3.0,-0.0
R039,F2,11,1.9000372157009464,0.8161098754139688,1.4325088909595924,0.44804824973735086,1.0659449538794943,0.07998662406125595,8.0,3.8294312104289263
R039,F3,8,2.354165354882829,0.6000179158602718,1.63712906717602,0.3239228782150003,1.0833630205707092,0.04782784057012122,6.0,2.795827081070014
R039,F4,0,,,,,,,,
R040,F1,18,9.371873984564166,6.315668183876169,6.744470837095903,5.655099921792013,4.86583738405866,4.994531659708794,7.0,5.203913605264063
R040,F2,12,1.9113034074219803,1.8047291236069976,1.5178726254302544,1.2242172835954257,1.2342887237258642,0.6437054435846788,6.0,9.299413199852976
R040,F3,11,1.1143505246046475,0.18309837204215995,0.8019871413864809,-0.36813917441468724,0.5857099048877729,-0.9193767208707507,8.0,10.701974269000216
R040,F4,12,1.233863607595521,0.14136924781920576,0.5010005680938097,-0.5571633663653398,0.22898530522057295,-1.2556959805488928,3.0,3.349683370802418
R041,F1,9,0.9076042571246679,-0.45416998418658916,0.784947350038095,-1.1278619885723655,0.6767750475272779,-1.8015539929571847,4.0,13.417815721949086
R041,F2,59,1.9660889175451746,1.1856296062684912,1.3239763817174477,0.5127202444264182,0.9173398194056102,-0.1601891174146981,19.0,22.743882701892705
R041,F3,58,1.063348634786955,0.11293035322157768,0.7057882930513782,-0.6793378338186398,0.49076317432937583,-1.4716060208577313,15.0,17.628083122863742
R041,F4,12,1.1042088545321431,0.15641804924021888,0.60977212041071,-0.7695989414830358,0.34332476433922227,-1.695615932204974,5.0,9.860891311674466
R042,F1,0,,,,,,,,
R042,F2,27,7.71973312680596,4.219880114079054,6.251655839077566,3.887964492804104,5.170442442469246,3.556048871529626,8.0,2.88104555469617
R042,F3,0,,,,,,,,
R042,F4,0,,,,,,,,
