rule_id,exit_configuration,events,episodes,GROSS_PF,GROSS_expectancy,BASE_PF,BASE_expectancy,STRESS_PF,STRESS_expectancy,executed_trades,max_drawdown
R034,TIME_60,50,38,8.792816364553214,5.2555344503985015,6.908909266754448,4.782962406405614,5.473398752014982,4.310390362411888,38,5.3700979347773234
R021,TIME_60,13,8,4.027374797093997,4.353913940582961,3.704649731983434,4.068487578328236,3.409083490506508,3.783061216073005,8,12.034053889394816
R042,TIME_60,27,6,7.71973312680596,4.219880114079054,6.251655839077566,3.887964492804104,5.170442442469246,3.556048871529626,8,2.88104555469617
R025,TIME_60,37,21,9.304894422282516,4.27970584475248,5.607716423493999,3.575762476464467,3.5816661020626,2.871819108177455,21,8.555809373772995
R035,TIME_60,45,38,6.180943974161762,3.660884254830924,4.562010762180714,3.155036768621572,3.432641283353478,2.6491892824113195,37,10.585839812258627
R036,TIME_60,24,24,7.462707148396735,3.3892744057959026,6.046171753336833,3.1174469927701365,5.001527057487504,2.845619579743888,23,6.948669353943302
R033,TIME_60,95,50,4.861760796717159,3.5463414637062742,3.7564484369859263,3.0731782359191895,2.944839944265328,2.600015008131263,50,21.513110854204683
R015,TIME_60,74,49,4.5790506223370455,3.3168155273907245,3.898324745662986,2.9828989272481437,3.307566577444042,2.648982327104971,45,10.88181383779255
R038,TIME_60,24,14,15.2172488017537,2.819334508593014,11.895724974542556,2.4307466638491824,7.640837766426794,2.0421588191059046,14,3.1232849005825116
R040,TIME_60,61,27,3.439217695415624,2.8716040233131626,2.561011267453674,2.2720076202909607,1.9374527823009773,1.67241121726961,27,12.37346436809623
R028,TIME_60,72,35,3.8568137671733114,2.543743027617898,2.9306439096585604,2.0276140017797286,2.249118802506508,1.511484975942293,32,19.402922263641543
R020,TIME_60,54,45,2.8459149739976746,2.3997130039992833,2.264673817608919,1.8678541047954296,1.7864334336597587,1.33599520559063,44,25.65594733006654
R017,TIME_60,148,53,3.5515941711140746,2.485348481518318,2.4011617018389857,1.8603189996944853,1.7254436002215872,1.235289517869542,51,23.146486705313734
R002,TIME_60,159,72,4.093794987667317,2.0441890076560663,3.0851477747602347,1.6767012704113284,2.3684482823676287,1.3092135331659378,66,7.903431603326318
R030,TIME_60,53,29,3.8779374526940624,2.078625709711237,2.814266719409102,1.65777796241941,2.0965313421418967,1.236930215126835,28,10.152837980262625
R013,TIME_60,81,35,3.5553870524789426,2.1675489883354295,2.452159302684796,1.6099954057008625,1.7651562380624795,1.0524418230670873,32,13.151215795725179
R009,TIME_60,101,36,2.315627022450083,2.4448987035584278,1.6865591456309184,1.5576546377119256,1.2327557334142705,0.6704105718638471,32,28.91509775084826
R018,TIME_60,66,24,1.9807534954291073,1.9070563359865673,1.686549226132333,1.4591028145539586,1.4318320466750871,1.011149293120554,24,37.2751826578353
R019,TIME_60,99,53,2.6570718339232435,1.7603436250307716,2.1816531815949958,1.4251564537732784,1.8074934281992807,1.089969282515191,50,9.742922035815372
R023,TIME_60,26,15,3.9716318732904647,1.7392856289721494,3.026109294131991,1.3495022166031987,2.1959481110417536,0.9597188042348018,15,5.228835905397514
R022,TIME_60,22,18,2.7610901241962362,1.5866952019248697,2.1954504100838297,1.2725880495919442,1.7741684839021927,0.9584808972584611,17,9.433931830731735
R014,TIME_60,131,44,3.0847762408312227,1.9086489209636248,2.009242334936255,1.2174377673662298,1.3341541820512341,0.5262266137698174,44,21.307640891216835
R029,TIME_60,52,38,2.6958644484730545,1.7201341060633975,2.0123281762674274,1.1948536201334905,1.4647406845805946,0.6695731342026506,38,6.860187188953903
R008,TIME_60,87,51,2.9408163054112566,1.6598289385914358,2.065142493599534,1.1620981537594197,1.4906633621216059,0.6643673689265199,49,9.580423672039558
R039,TIME_60,25,18,3.404843618080413,1.3243411732488317,2.567425792014783,0.9872943513496091,1.8903557132103161,0.6502475294508656,18,3.8294312104289254
R026,TIME_60,57,29,2.4497973281095766,1.6787985364263567,1.6360358955797154,0.9526089761890588,1.1216258192585855,0.22641941595279264,30,17.36307004251499
R016,TIME_60,35,18,2.1969830307717637,1.2822096858662575,1.747056225721495,0.9129110525924987,1.3959819762634784,0.5436124193180836,18,5.1718991655388225
R010,TIME_60,79,40,1.6743375113634262,1.3121431487851325,1.3402950029482918,0.745537592890718,1.0723307846332266,0.17893203699529694,36,42.19621486350035
R037,TIME_60,35,23,2.4933040038397705,1.432005744105559,1.6031247656545944,0.7373780514852587,1.0270912117421853,0.042750358865945574,22,15.314255943683388
R005,TIME_60,61,32,1.8158470414778756,1.1701452515048372,1.441756781216072,0.7173448541064392,1.1437788654311198,0.2645444567086853,32,29.842390733301922
R032,TIME_60,132,48,1.7721299955471974,1.2990118198142266,1.3439000646478991,0.6522735402877816,1.0025695601282532,0.0055352607601881765,50,32.343666366465676
R027,TIME_60,57,29,1.8657410913210453,1.3293951596014069,1.2641946871210272,0.5249201430998683,0.8897938976538275,-0.27955487340052715,27,19.37129623478539
R024,TIME_30,41,16,2.8689515843280957,1.3429103310817303,1.3433025647895382,0.3748551764039566,0.6288947342995312,-0.5931999782724414,19,13.656791910477313
R003,TIME_60,179,70,1.4265680373971206,0.7941092315545354,1.1033563807197848,0.2250244471158917,0.8643297095247651,-0.344060337323763,64,50.50994981197932
R004,TIME_60,161,54,1.7758025481254407,0.9899924003374653,1.1180463490537245,0.19936360573191217,0.7309343156300764,-0.5912651888725172,52,27.358140157239763
R012,TIME_60,45,17,2.1312976890525417,1.10297932199276,1.1427344831503339,0.19343597935158754,0.6307627001352228,-0.7161073632882924,15,17.04838571524791
R031,STOP_1.0_TARGET_2.0,50,26,2.181818181818239,0.5652173913043671,1.122863903440693,0.0951395581242949,0.6497335850738379,-0.3749382750566122,35,6.308217961071184
R006,TIME_30,100,42,1.300234789732648,0.4366071694010912,0.966416570461139,-0.056717772232080015,0.7173470966745523,-0.55004271386455,52,34.647517283332334
R007,STOP_1.0_TARGET_2.0,227,87,1.5522066983496394,0.3117860738367101,0.8608888454114195,-0.11036493189035494,0.4789968547403907,-0.5325159376181698,175,14.418848296171749
R041,TIME_30,144,50,1.5157768901568105,0.6738201087211526,0.9252564553841635,-0.12778666205521366,0.5788002370871476,-0.9293934328304405,59,29.755347300089763
R001,STOP_1.0_TARGET_2.0,194,74,1.457627375756273,0.26064073231917523,0.7451399921316126,-0.21104077900537793,0.3753566267272611,-0.6827222903307689,147,15.112639295763405
R011,STOP_1.0_TARGET_2.0,27,10,0.8571428571428854,-0.09999999999997916,0.501730283044537,-0.4715344106487599,0.29313513961718995,-0.8430688212970127,20,11.27617559016654
