split,dimension,category,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
train,portfolio,COMBINED,398,1.06502198591,0.0363977765498,14.4863150668,-36.9674895528,0.391866346405,0.311557788945,121.809045226,15,0.0693554221014,0.223746305493
train,strategy,T2,173,0.838349563095,-0.100847111165,-17.4465502316,-37.343682356,-0.467188802252,0.265895953757,135.144508671,18,0.0941998540474,0.338824617351
train,strategy,T3,225,1.27800734464,0.141923845771,31.9328652984,-20.8985142027,1.52799691829,0.346666666667,111.555555556,15,0.1121041578,0.34344146988
train,instrument,USDRUBF,247,1.28548091284,0.143043573606,35.3317626807,-17.4981468848,2.01917168219,0.344129554656,88.5627530364,11,0.103438646464,0.311782312382
train,instrument,CNYRUBF,151,0.789501092623,-0.138049321946,-20.8454476138,-35.2126317061,-0.591987778358,0.258278145695,176.19205298,12,0.138956825767,0.398722801613
train,direction,LONG,259,1.11489598212,0.0583869539613,15.122221076,-27.3913708008,0.552079747521,0.339768339768,132.625482625,19,0.0571304776255,0.215986457448
train,direction,SHORT,139,0.993025389025,-0.00457486337526,-0.63590600916,-22.6112687602,-0.0281234112028,0.258992805755,101.654676259,11,0.181762127258,0.549013028474
test,portfolio,COMBINED,521,1.19875355244,0.100796504077,52.514978624,-34.5190055318,1.52133521273,0.376199616123,112.447216891,13,0.0409875988167,0.128223339919
test,strategy,T2,225,1.03499795593,0.0201376104658,4.5309623548,-43.8026247965,0.103440430245,0.328888888889,111.977777778,10,0.0968865320607,0.296585603354
test,strategy,T3,296,1.35607557031,0.162108163071,47.9840162692,-15.9377688448,3.01071101837,0.412162162162,112.804054054,11,0.0384763803062,0.16374518088
test,instrument,USDRUBF,285,1.53951086167,0.237753635919,67.7597862369,-15.4497353073,4.38582182084,0.417543859649,100.754385965,11,0.0393680613477,0.164823887118
test,instrument,CNYRUBF,236,0.890029814751,-0.0645966424277,-15.2448076129,-43.2826984298,-0.352214814833,0.326271186441,126.56779661,17,0.105220201858,0.315068850327
test,direction,LONG,287,1.44358323748,0.21326430039,61.2068542119,-30.3899846979,2.01404689144,0.425087108014,129.006968641,10,0.0651754313064,0.203458845697
test,direction,SHORT,234,0.931147347918,-0.0371447674697,-8.69187558791,-23.8231163012,-0.36485048715,0.316239316239,92.1367521368,14,0.0552760600267,0.242373427099
