year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,7,0,,,0,0,,
2023,8,7,2.69511965379,0.678448700774,4.74914090542,-1.31060596281,3.62362223291,0.571428571429
2023,9,3,1.49923464239,0.280737280954,0.842211842862,-1.6870060115,0.499234642391,0.333333333333
2023,10,6,0,-0.582735104342,-3.49641062605,-3.49641062605,-1,0
2023,11,3,2.09648924636,0.184385695899,0.553157087698,-0.504480175739,1.09648924636,0.666666666667
2023,12,7,0.816887854146,-0.104420175917,-0.730941231419,-3.05417066074,-0.239325601813,0.285714285714
2024,1,4,1.33285047013,0.051299560431,0.205198241724,-0.616487762942,0.332850470129,0.25
2024,2,8,0.0918201184803,-0.657366023338,-5.2589281867,-5.2589281867,-1,0.125
2024,3,6,2.3512773797,0.316007888836,1.89604733301,-1.00014439357,1.89577359549,0.666666666667
2024,4,7,6.52177483708,1.47127154282,10.2989007998,-0.906567658115,11.3603223185,0.571428571429
2024,5,5,0.240048385815,-0.516081121697,-2.58040560849,-2.58040560849,-1,0.2
2024,6,9,0.95658846222,-0.0236268961438,-0.212642065294,-2.08566199251,-0.101954231346,0.333333333333
2024,7,5,1.24959849845,0.126470667649,0.632353338246,-1.5333629596,0.412396382922,0.4
2024,8,7,1.59907733358,0.181277935672,1.2689455497,-1.6610730142,0.763931229304,0.428571428571
2024,9,3,5.25222735023,1.41753577006,4.25260731018,-1.00008935551,4.25222735023,0.666666666667
2024,10,5,0.239599238868,-0.456290725623,-2.28145362811,-2.81143382054,-0.811491137173,0.4
2024,11,6,3.1269169563,0.995637479472,5.97382487683,-1.8086297333,3.30295624739,0.5
2024,12,3,0,-0.777158304616,-2.33147491385,-2.33147491385,-1,0
