strategy,candidate_id,verdict,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor,win_rate,max_winning_streak,max_losing_streak,positive_complete_fold_share,best_fold_contribution
T2,T2_H4_candidate_v1,WALK_FORWARD_BORDERLINE,0,,,0,0,,,0,0,0,
T3,T3_H4_candidate_v1,WALK_FORWARD_BORDERLINE,0,,,0,0,,,0,0,0,
