analysis,hypothesis_id,scope,label,time_dimension,time_value,descriptive_class,excluded_values,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
time_slice,M5_TIME_MONTH_03-March,T2,03-March,month,03-March,positive,DATA_UNAVAILABLE,68,1.27362854258,0.153745015078,10.4546610253,-9.86958814164,1.05928037475,0.308823529412
time_slice,M5_TIME_MONTH_04-April,T2,04-April,month,04-April,negative,DATA_UNAVAILABLE,66,0.979664796377,-0.0140853216242,-0.929631227199,-25.5347440525,-0.0364065222384,0.257575757576
time_slice,M5_TIME_MONTH_05-May,T2,05-May,month,05-May,negative,DATA_UNAVAILABLE,57,0.968209417934,-0.0205882000479,-1.17352740273,-18.0597153618,-0.0649803930581,0.245614035088
time_slice,M5_TIME_MONTH_06-June,T2,06-June,month,06-June,positive,DATA_UNAVAILABLE,54,1.31843129719,0.171620781388,9.26752219496,-10.5786412017,0.876059790502,0.277777777778
time_slice,M5_TIME_MONTH_07-July,T2,07-July,month,07-July,negative,DATA_UNAVAILABLE,75,0.913457663942,-0.0478869651524,-3.59152238643,-17.5054318615,-0.205166168698,0.28
time_slice,M5_TIME_MONTH_08-August,T2,08-August,month,08-August,negative,DATA_UNAVAILABLE,71,0.897005126346,-0.0668348462884,-4.74527408648,-23.2513462919,-0.204085992566,0.295774647887
time_slice,M5_TIME_MONTH_09-September,T2,09-September,month,09-September,negative,DATA_UNAVAILABLE,79,0.902615823737,-0.0561218257693,-4.43362423577,-21.3965948881,-0.207211673584,0.278481012658
time_slice,M5_TIME_MONTH_10-October,T2,10-October,month,10-October,negative,DATA_UNAVAILABLE,66,0.884155148112,-0.0613123763886,-4.04661684165,-9.28486819142,-0.435829217844,0.318181818182
time_slice,M5_TIME_MONTH_11-November,T2,11-November,month,11-November,positive,DATA_UNAVAILABLE,78,1.66320864933,0.359309075094,28.0261078574,-9.58977283725,2.92249966011,0.346153846154
time_slice,M5_TIME_MONTH_12-December,T2,12-December,month,12-December,positive,DATA_UNAVAILABLE,83,1.90275878255,0.42616805898,35.3719488954,-8.46534626138,4.17844088159,0.397590361446
time_slice,M5_TIME_QUARTER_2023-Q1,T2,2023-Q1,quarter,2023-Q1,negative,DATA_UNAVAILABLE,89,0.944350126909,-0.0321956694246,-2.86541457879,-17.7560748148,-0.161376577237,0.325842696629
time_slice,M5_TIME_QUARTER_2023-Q2,T2,2023-Q2,quarter,2023-Q2,negative,DATA_UNAVAILABLE,84,0.741641435199,-0.173584948248,-14.5811356528,-37.343682356,-0.390457896299,0.202380952381
time_slice,M5_TIME_QUARTER_2023-Q3,T2,2023-Q3,quarter,2023-Q3,negative,DATA_UNAVAILABLE,108,0.846994571395,-0.0900362130104,-9.72391100513,-33.3980670736,-0.291151909591,0.333333333333
time_slice,M5_TIME_QUARTER_2023-Q4,T2,2023-Q4,quarter,2023-Q4,positive,DATA_UNAVAILABLE,117,1.21627487049,0.121836524444,14.2548733599,-12.6737111954,1.12475920748,0.324786324786
time_slice,M5_TIME_QUARTER_2024-Q1,T2,2024-Q1,quarter,2024-Q1,negative,DATA_UNAVAILABLE,112,0.996683709407,-0.00196753326244,-0.220363725393,-26.0258757521,-0.00846710126078,0.276785714286
time_slice,M5_TIME_QUARTER_2024-Q2,T2,2024-Q2,quarter,2024-Q2,positive,DATA_UNAVAILABLE,93,1.39325799358,0.233822572235,21.7454992178,-10.1060874065,2.15172285209,0.311827956989
time_slice,M5_TIME_QUARTER_2024-Q3,T2,2024-Q3,quarter,2024-Q3,negative,DATA_UNAVAILABLE,117,0.956195283575,-0.0260385444748,-3.04650970355,-20.1350129458,-0.151304084668,0.239316239316
time_slice,M5_TIME_QUARTER_2024-Q4,T2,2024-Q4,quarter,2024-Q4,positive,DATA_UNAVAILABLE,110,1.89369404715,0.409968786829,45.0965665511,-9.32161179031,4.83785074573,0.390909090909
time_hypothesis,M5_TIME_REMOVE_OBSERVED_NEGATIVE_HOURS,T2,Remove observed negative hours,hour_set,9;10;11;13;15;17;21,hypothetical_in_sample_subset,12;14;16;18;19;20;22;23,481,1.4618717119,0.247931389073,119.254998144,-25.4140291841,4.69248686544,0.328482328482
time_hypothesis,M5_TIME_KEEP_OBSERVED_PROFITABLE_HOURS,T2,Keep observed profitable hour set,hour_set,9;10;11;13;15;17;21,hypothetical_in_sample_subset,12;14;16;18;19;20;22;23,481,1.4618717119,0.247931389073,119.254998144,-25.4140291841,4.69248686544,0.328482328482
