parameter,value,configurations,positive_C1_share,mean_expectancy_C1
ema_fast,15,1,1,1.20669749711
ema_fast,20,16,0,-0.551731575365
ema_fast,25,1,0,-0.867732972723
ema_fast,30,1,0,-0.625930107938
ema_trend,40,1,0,-0.380549229644
ema_trend,50,17,0.0588235294118,-0.461167122166
ema_trend,60,1,0,-0.894280482922
ema_slow,150,1,0,-0.252140873113
ema_slow,200,17,0.0588235294118,-0.470337498695
ema_slow,250,1,0,-0.866792438463
adx_threshold,15,1,0,-0.586082099249
adx_threshold,20,16,0.0625,-0.459776530728
adx_threshold,25,1,0,-0.586082099249
adx_threshold,30,1,0,-0.586082099249
impulse_distance_atr,0.3,1,0,-0.586082099249
impulse_distance_atr,0.5,17,0.0588235294118,-0.467206270053
impulse_distance_atr,0.7,1,0,-0.586082099249
confirmation_window,2,1,0,-0.482484993132
confirmation_window,3,17,0.0588235294118,-0.489558481641
confirmation_window,4,1,0,-0.309691608357
max_initial_stop_atr,2,1,0,-0.489381939704
max_initial_stop_atr,2.5,17,0.0588235294118,-0.488968855169
max_initial_stop_atr,3,1,0,-0.312818311821
trailing_atr,2,1,0,-0.658613134823
trailing_atr,3,17,0.0588235294118,-0.458329297424
trailing_atr,4,1,0,-0.664459598364
