configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,instrument_USDRUBF_trades,instrument_USDRUBF_PF,instrument_USDRUBF_expectancy,instrument_USDRUBF_net_R,instrument_USDRUBF_max_DD,instrument_USDRUBF_recovery_factor,instrument_USDRUBF_win_rate,instrument_CNYRUBF_trades,instrument_CNYRUBF_PF,instrument_CNYRUBF_expectancy,instrument_CNYRUBF_net_R,instrument_CNYRUBF_max_DD,instrument_CNYRUBF_recovery_factor,instrument_CNYRUBF_win_rate,year_2023_trades,year_2023_PF,year_2023_expectancy,year_2023_net_R,year_2023_max_DD,year_2023_recovery_factor,year_2023_win_rate,year_2024_trades,year_2024_PF,year_2024_expectancy,year_2024_net_R,year_2024_max_DD,year_2024_recovery_factor,year_2024_win_rate,direction_LONG_trades,direction_LONG_PF,direction_LONG_expectancy,direction_LONG_net_R,direction_LONG_max_DD,direction_LONG_recovery_factor,direction_LONG_win_rate,direction_SHORT_trades,direction_SHORT_PF,direction_SHORT_expectancy,direction_SHORT_net_R,direction_SHORT_max_DD,direction_SHORT_recovery_factor,direction_SHORT_win_rate,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5,classification
T2-D1-0000-5553cde1a914,5,0.154811934722,-0.586082099249,-2.93041049625,-3.46716975385,-0.845188065278,0.2,3,0,-1.00073489841,-3.00220469522,-3.00220469522,-1,0,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,0,,,0,0,,,5,0.154811934722,-0.586082099249,-2.93041049625,-3.46716975385,-0.845188065278,0.2,2,0,-1.00066783559,-2.00133567118,-2.00133567118,-1,0,3,0.366180090876,-0.309691608357,-0.929074825072,-1.46583408268,-0.633819909124,0.333333333333,1,1,1,1,-3.46716975385,0,-0.866792438463,-3.46716975385,0,-0.866792438463,-3.46716975385,0,-0.866792438463,NO_EDGE
T2-D1-0001-3cda411fac32,4,0.217602231779,-0.482484993132,-1.92993997253,-2.46669923013,-0.782397768221,0.25,2,0,-1.00086708575,-2.0017341715,-2.0017341715,-1,0,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,0,,,0,0,,,4,0.217602231779,-0.482484993132,-1.92993997253,-2.46669923013,-0.782397768221,0.25,1,0,-1.00086514746,-1.00086514746,-1.00086514746,-1,0,3,0.366180090876,-0.309691608357,-0.929074825072,-1.46583408268,-0.633819909124,0.333333333333,1,1,1,1,-2.46669923013,0,-0.822233076711,-2.46669923013,0,-0.822233076711,-2.46669923013,0,-0.822233076711,NO_EDGE
T2-D1-0002-2d018223b5df,9,3.43014079283,1.20669749711,10.860277474,-2.00133567118,5.42651471733,0.444444444444,6,2.98050314852,1.3216643499,7.92998609942,-2.00133567118,3.96234685347,0.333333333333,3,7.30217544339,0.97676379151,2.93029137453,-0.46496505863,6.30217544339,0.666666666667,0,,,0,0,,,9,3.43014079283,1.20669749711,10.860277474,-2.00133567118,5.42651471733,0.444444444444,4,6.76711744178,2.88548446402,11.5419378561,-2.00133567118,5.76711744178,0.5,5,0.723761921676,-0.13633207643,-0.681660382148,-1.46583408268,-0.465032427752,0.4,0.697018016817,0.964984679049,1,1,0.175501122233,1.03927086001,0.0219376402792,-3.93223180085,0.120107480768,-0.655371966808,-4.46899105845,0,-0.893798211691,LOCAL_SPIKE
T2-D1-0003-f6822266078f,8,0.529481797985,-0.252140873113,-2.01712698491,-3.46716975385,-0.581779124793,0.375,6,0.453457839538,-0.348153530647,-2.08892118388,-3.00220469522,-0.695795722125,0.333333333333,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,1,,0.483910852191,0.483910852191,0,,1,7,0.416603994152,-0.357291119585,-2.5010378371,-3.46716975385,-0.721348539199,0.285714285714,3,0.241793947493,-0.505808272995,-1.51742481898,-2.00133567118,-0.758206052507,0.333333333333,5,0.781378665446,-0.0999404331843,-0.499702165921,-1.46583408268,-0.340899540969,0.4,0.550346942142,1,1,1,-3.26636273243,0.238083109544,-0.46662324749,-4.28703284223,0,-0.857406568446,-4.28703284223,0,-0.857406568446,NO_EDGE
T2-D1-0004-b6d0084e4f65,7,0.401361658083,-0.380549229644,-2.66384460751,-3.46716975385,-0.76830521625,0.285714285714,5,0.313494372431,-0.547127761297,-2.73563880648,-3.00220469522,-0.911209955416,0.2,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,0,,,0,0,,,7,0.401361658083,-0.380549229644,-2.66384460751,-3.46716975385,-0.76830521625,0.285714285714,2,0,-1.00066783559,-2.00133567118,-2.00133567118,-1,0,5,0.729422965136,-0.132501787267,-0.662508936334,-1.46583408268,-0.451967207042,0.4,0.699462061169,1,1,1,-3.91308035504,0.120624405446,-0.652180059173,-4.44983961264,0,-0.889967922528,-4.44983961264,0,-0.889967922528,NO_EDGE
T2-D1-0005-d585df88c9ab,5,0.154811934722,-0.586082099249,-2.93041049625,-3.46716975385,-0.845188065278,0.2,3,0,-1.00073489841,-3.00220469522,-3.00220469522,-1,0,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,0,,,0,0,,,5,0.154811934722,-0.586082099249,-2.93041049625,-3.46716975385,-0.845188065278,0.2,2,0,-1.00066783559,-2.00133567118,-2.00133567118,-1,0,3,0.366180090876,-0.309691608357,-0.929074825072,-1.46583408268,-0.633819909124,0.333333333333,1,1,1,1,-3.46716975385,0,-0.866792438463,-3.46716975385,0,-0.866792438463,-3.46716975385,0,-0.866792438463,NO_EDGE
T2-D1-0006-62a6c15a0bef,3,0.267723027807,-0.489381939704,-1.46814581911,-2.00490507672,-0.732276972193,0.333333333333,1,0,-1.00086902405,-1.00086902405,-1.00086902405,-1,0,2,0.53460157748,-0.233638397533,-0.467276795066,-1.00403605267,-0.46539842252,0.5,0,,,0,0,,,3,0.267723027807,-0.489381939704,-1.46814581911,-2.00490507672,-0.732276972193,0.333333333333,0,,,0,0,,,3,0.267723027807,-0.489381939704,-1.46814581911,-2.00490507672,-0.732276972193,0.333333333333,1,1,1,1,-2.00490507672,0,-1.00245253836,-2.00490507672,0,-1.00245253836,-2.00490507672,0,-1.00245253836,NO_EDGE
T2-D1-0007-5e693919b60a,5,0,-0.658613134823,-3.29306567411,-3.29306567411,-1,0,3,0,-0.889665606482,-2.66899681945,-2.66899681945,-1,0,2,0,-0.312034427333,-0.624068854666,-0.624068854666,-1,0,0,,,0,0,,,5,0,-0.658613134823,-3.29306567411,-3.29306567411,-1,0,2,0,-0.848184307314,-1.69636861463,-1.69636861463,-1,0,3,0,-0.532232353162,-1.59669705948,-1.59669705948,-1,0,,,,,-3.29306567411,0,-0.658613134823,-3.29306567411,0,-0.658613134823,-3.29306567411,0,-0.658613134823,NO_EDGE
T2-D1-0008-2b0494cdd24b,5,0.154811934722,-0.586082099249,-2.93041049625,-3.46716975385,-0.845188065278,0.2,3,0,-1.00073489841,-3.00220469522,-3.00220469522,-1,0,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,0,,,0,0,,,5,0.154811934722,-0.586082099249,-2.93041049625,-3.46716975385,-0.845188065278,0.2,2,0,-1.00066783559,-2.00133567118,-2.00133567118,-1,0,3,0.366180090876,-0.309691608357,-0.929074825072,-1.46583408268,-0.633819909124,0.333333333333,1,1,1,1,-3.46716975385,0,-0.866792438463,-3.46716975385,0,-0.866792438463,-3.46716975385,0,-0.866792438463,NO_EDGE
T2-D1-0009-02b46f097e21,5,0.07659939224,-0.664459598364,-3.32229799182,-3.59789452584,-0.92340060776,0.2,3,0,-1.00073489841,-3.00220469522,-3.00220469522,-1,0,2,0.462651064122,-0.160046648299,-0.320093296597,-0.595689830621,-0.537348935878,0.5,0,,,0,0,,,5,0.07659939224,-0.664459598364,-3.32229799182,-3.59789452584,-0.92340060776,0.2,2,0,-1.00066783559,-2.00133567118,-2.00133567118,-1,0,3,0.172619088371,-0.440320773548,-1.32096232064,-1.59655885467,-0.827380911629,0.333333333333,1,1,1,1,-3.59789452584,0,-0.899473631461,-3.59789452584,0,-0.899473631461,-3.59789452584,0,-0.899473631461,NO_EDGE
