dimension,value,duration_bucket,trades,PF,expectancy_R,net_R,win_rate
ALL,ALL,0-15,108,0.000983377156692,-1.01727801947,-109.866026103,0.00925925925926
ALL,ALL,15-30,168,0.0955519105353,-0.775859567963,-130.344407418,0.0833333333333
ALL,ALL,30-60,245,0.347533020567,-0.412515803146,-101.066371771,0.257142857143
ALL,ALL,60-120,328,1.45593810794,0.153533925163,50.3591274533,0.44512195122
ALL,ALL,120+,282,11.4151896351,1.34201392963,378.447928156,0.709219858156
instrument,USDRUBF,0-15,54,0,-1.00857033196,-54.462797926,0
instrument,USDRUBF,15-30,94,0.105543278394,-0.703866386019,-66.1634402858,0.0851063829787
instrument,USDRUBF,30-60,132,0.336101089694,-0.39234178144,-51.7891151501,0.265151515152
instrument,USDRUBF,60-120,160,1.79840878325,0.241881698962,38.7010718338,0.475
instrument,USDRUBF,120+,164,14.6308438353,1.41264795801,231.674265114,0.756097560976
instrument,CNYRUBF,0-15,54,0.00194817891271,-1.02598570697,-55.4032281765,0.0185185185185
instrument,CNYRUBF,15-30,74,0.0850155370105,-0.867310366649,-64.180967132,0.0810810810811
instrument,CNYRUBF,30-60,113,0.359130909067,-0.436081916997,-49.2772566207,0.247787610619
instrument,CNYRUBF,60-120,168,1.18809710421,0.0693931882113,11.6580556195,0.416666666667
instrument,CNYRUBF,120+,118,8.58919197603,1.24384460206,146.773663043,0.64406779661
direction,LONG,0-15,60,0,-1.04556171001,-62.7337026004,0
direction,LONG,15-30,101,0.0289410121199,-0.847203351823,-85.5675385341,0.049504950495
direction,LONG,30-60,122,0.39274516056,-0.390727781623,-47.668789358,0.270491803279
direction,LONG,60-120,201,1.39006531802,0.132694465392,26.6715875437,0.442786069652
direction,LONG,120+,164,11.3459849432,1.19045449517,195.234537208,0.75
direction,SHORT,0-15,48,0.0022892678607,-0.981923406295,-47.1323235021,0.0208333333333
direction,SHORT,15-30,67,0.20037167218,-0.668311475876,-44.7768688837,0.134328358209
direction,SHORT,30-60,123,0.301078840909,-0.434126686283,-53.3975824128,0.243902439024
direction,SHORT,60-120,127,1.56299120561,0.18651606228,23.6875399096,0.448818897638
direction,SHORT,120+,118,11.4899612942,1.5526558555,183.213390949,0.652542372881
session,Session_A,0-15,8,0,-0.791185233921,-6.32948187137,0
session,Session_A,15-30,10,0.0686104647048,-0.594577738373,-5.94577738373,0.2
session,Session_A,30-60,4,0.582564187619,-0.227640520617,-0.910562082469,0.5
session,Session_A,60-120,7,0.278760140183,-0.438881427162,-3.07216999013,0.285714285714
session,Session_A,120+,1,DATA_UNAVAILABLE,5.00014717159,5.00014717159,1
session,Session_B,0-15,83,0.00126098498401,-1.03198842342,-85.655039144,0.0120481927711
session,Session_B,15-30,127,0.123455383358,-0.740676041072,-94.0658572162,0.0787401574803
session,Session_B,30-60,198,0.412051999427,-0.350189350627,-69.3374914242,0.277777777778
session,Session_B,60-120,245,1.878300639,0.257553697076,63.1006557837,0.485714285714
session,Session_B,120+,165,21.7912818477,1.7875230304,294.941300016,0.775757575758
session,Session_C,0-15,17,0,-1.05185324042,-17.8815050872,0
session,Session_C,15-30,31,0.00275889388763,-0.978476542511,-30.3327728178,0.0645161290323
session,Session_C,30-60,43,0.114064178632,-0.71670507591,-30.8183182641,0.139534883721
session,Session_C,60-120,76,0.718489105664,-0.127228399213,-9.6693583402,0.328947368421
session,Session_C,120+,116,4.54425667724,0.676780008356,78.5064809693,0.612068965517
candidate,10:00-17:00,0-15,83,0.00126098498401,-1.03198842342,-85.655039144,0.0120481927711
candidate,10:00-17:00,15-30,127,0.123455383358,-0.740676041072,-94.0658572162,0.0787401574803
candidate,10:00-17:00,30-60,198,0.412051999427,-0.350189350627,-69.3374914242,0.277777777778
candidate,10:00-17:00,60-120,245,1.878300639,0.257553697076,63.1006557837,0.485714285714
candidate,10:00-17:00,120+,165,21.7912818477,1.7875230304,294.941300016,0.775757575758
