dimension,value,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R,average_price_movement,percent_profitable,percent_stopped,percent_still_open
ALL,ALL,5,1131,-0.0143904064052,0,0.31494402251,0.325440958533,-0.00116357206012,41.9098143236,3.71352785146,96.2864721485
ALL,ALL,15,1131,0.00991402167716,0,0.495662181988,0.571126094908,0.00242705570292,44.1202475685,14.3236074271,85.6763925729
ALL,ALL,30,1131,0.0424185293647,-0.121802576411,0.62946650016,0.817328192456,0.00589124668435,42.9708222812,27.4977895668,72.5022104332
ALL,ALL,60,1131,0.0468230354433,-0.188656177028,0.72338729539,1.05848496631,0.00993280282935,43.1476569408,48.8063660477,51.1936339523
ALL,ALL,120,1131,0.0473392575174,-0.364732623294,0.761548706819,1.31031394122,0.0167630415561,39.3457117595,76.7462422635,23.2537577365
instrument,USDRUBF,5,604,-0.000791106619839,0,0.303649093965,0.336634587907,-0.00162251655629,44.3708609272,4.6357615894,95.3642384106
instrument,USDRUBF,15,604,0.0227856017394,0,0.482800036257,0.572336495496,0.00451986754967,46.0264900662,14.0728476821,85.9271523179
instrument,USDRUBF,30,604,0.066229215786,-0.0808194259309,0.609161658857,0.818354502232,0.0105463576159,43.5430463576,27.3178807947,72.6821192053
instrument,USDRUBF,60,604,0.0881674084093,-0.152229671959,0.705633259725,1.05620596583,0.0177317880795,44.5364238411,48.3443708609,51.6556291391
instrument,USDRUBF,120,604,0.132870559921,-0.253342882901,0.734628771595,1.32964037724,0.030298013245,42.5496688742,74.3377483444,25.6622516556
instrument,CNYRUBF,5,527,-0.0299767006564,0,0.327889253707,0.312611827334,-0.000637571157495,39.0891840607,2.65654648956,97.3434535104
instrument,CNYRUBF,15,527,-0.00483822568066,-0.0778200361067,0.510403616564,0.569738842622,2.84629981024e-05,41.935483871,14.6110056926,85.3889943074
instrument,CNYRUBF,30,527,0.015128862195,-0.159180418312,0.652738082983,0.816151928499,0.000555977229602,42.3149905123,27.7039848197,72.2960151803
instrument,CNYRUBF,60,527,-0.000562166210228,-0.266144529854,0.743735374217,1.06109695169,0.000994307400379,41.5559772296,49.3358633776,50.6641366224
instrument,CNYRUBF,120,527,-0.0506890283492,-0.45992087136,0.792401915311,1.28816371854,0.0012504743833,35.6736242884,79.5066413662,20.4933586338
direction,LONG,5,648,-0.0337818146633,0,0.320612106046,0.297964012435,-0.00128086419753,40.2777777778,3.7037037037,96.2962962963
direction,LONG,15,648,0.00280530460326,0,0.508716847902,0.544221355316,0.000262345679013,43.8271604938,14.1975308642,85.8024691358
direction,LONG,30,648,0.0235839747213,-0.159893942144,0.652298706108,0.797984863608,0.00424074074074,40.8950617284,28.0864197531,71.9135802469
direction,LONG,60,648,0.0536587595437,-0.173643343679,0.737104352348,1.04333018757,0.00819135802469,42.7469135802,46.9135802469,53.0864197531
