dimension,value,outcome,checkpoint_minutes,trades,average_unrealized_R,median_unrealized_R,average_MAE_R,average_MFE_R
session,Session_A,LOSER,60,23,-0.753764970729,-1.01161937772,1.05195417789,0.611369604419
session,Session_A,LOSER,120,23,-0.83278881734,-1.01265344604,1.09680477612,0.611369604419
session,Session_B,WINNER,5,313,0.215567637456,0.171444914341,0.210231264851,0.453669144325
session,Session_B,WINNER,15,313,0.57375541994,0.452023037548,0.280143130392,0.954506990873
session,Session_B,WINNER,30,313,1.01229967404,0.894095046627,0.309235494608,1.54063232591
session,Session_B,WINNER,60,313,1.25989632713,1.02944161019,0.331693983775,2.11642939814
session,Session_B,WINNER,120,313,1.45024650076,1.05101612679,0.336188357943,2.76938003257
session,Session_B,LOSER,5,505,-0.123157519322,-0.108065165598,0.382024344791,0.278630590991
session,Session_B,LOSER,15,505,-0.299468534504,-0.278930814528,0.645775104473,0.408321488144
session,Session_B,LOSER,30,505,-0.454404218674,-0.558770229395,0.818184843704,0.480565446727
session,Session_B,LOSER,60,505,-0.6226209827,-0.881223450118,0.956477663256,0.53861935771
session,Session_B,LOSER,120,505,-0.754473424051,-0.941661194528,0.999377923491,0.572352673489
session,Session_C,WINNER,5,104,0.0916784425987,0,0.170323468001,0.323615503751
session,Session_C,WINNER,15,104,0.282640747244,0.169251061459,0.295468907934,0.619743710497
session,Session_C,WINNER,30,104,0.41461812415,0.382222833861,0.373943292793,0.94636968889
session,Session_C,WINNER,60,104,0.849393946712,0.634085047162,0.395224386728,1.45156523262
session,Session_C,WINNER,120,104,1.10498471063,0.811715003484,0.396639884525,1.9894564748
session,Session_C,LOSER,5,179,-0.166055706419,-0.112408257913,0.364947367336,0.20415264205
session,Session_C,LOSER,15,179,-0.245877949464,-0.232188822493,0.546682239497,0.291923359071
session,Session_C,LOSER,30,179,-0.426390552911,-0.37408082179,0.782550439247,0.410423720048
session,Session_C,LOSER,60,179,-0.581583991283,-0.55902941329,0.90957721781,0.441600701454
session,Session_C,LOSER,120,179,-0.689484352524,-0.785802303974,1.01522196788,0.472719239598
candidate,10:00-17:00,WINNER,5,313,0.215567637456,0.171444914341,0.210231264851,0.453669144325
candidate,10:00-17:00,WINNER,15,313,0.57375541994,0.452023037548,0.280143130392,0.954506990873
candidate,10:00-17:00,WINNER,30,313,1.01229967404,0.894095046627,0.309235494608,1.54063232591
candidate,10:00-17:00,WINNER,60,313,1.25989632713,1.02944161019,0.331693983775,2.11642939814
candidate,10:00-17:00,WINNER,120,313,1.45024650076,1.05101612679,0.336188357943,2.76938003257
candidate,10:00-17:00,LOSER,5,505,-0.123157519322,-0.108065165598,0.382024344791,0.278630590991
candidate,10:00-17:00,LOSER,15,505,-0.299468534504,-0.278930814528,0.645775104473,0.408321488144
candidate,10:00-17:00,LOSER,30,505,-0.454404218674,-0.558770229395,0.818184843704,0.480565446727
candidate,10:00-17:00,LOSER,60,505,-0.6226209827,-0.881223450118,0.956477663256,0.53861935771
candidate,10:00-17:00,LOSER,120,505,-0.754473424051,-0.941661194528,0.999377923491,0.572352673489
