dimension,value,checkpoint_minutes,criterion,trades,winners,losers,winner_loser_ratio,average_final_R
ALL,ALL,15,MAE_R > 0.5,481,82,399,0.205513784461,-0.516936811478
ALL,ALL,30,MAE_R > 0.5,626,109,517,0.21083172147,-0.522754460928
instrument,USDRUBF,15,MAE_R > 0.5,245,53,192,0.276041666667,-0.393083828902
instrument,USDRUBF,30,MAE_R > 0.5,325,65,260,0.25,-0.444988251468
instrument,CNYRUBF,15,MAE_R > 0.5,236,29,207,0.140096618357,-0.645513001017
instrument,CNYRUBF,30,MAE_R > 0.5,301,44,257,0.171206225681,-0.606721298385
direction,LONG,15,MAE_R > 0.5,281,56,225,0.248888888889,-0.493683352056
direction,LONG,30,MAE_R > 0.5,375,73,302,0.241721854305,-0.497852829254
direction,SHORT,15,MAE_R > 0.5,200,26,174,0.149425287356,-0.549607921967
direction,SHORT,30,MAE_R > 0.5,251,36,215,0.167441860465,-0.559958093907
session,Session_A,15,MAE_R > 0.5,16,3,13,0.230769230769,-0.67333602166
session,Session_A,30,MAE_R > 0.5,21,4,17,0.235294117647,-0.666906658864
session,Session_B,15,MAE_R > 0.5,349,55,294,0.187074829932,-0.535490230505
session,Session_B,30,MAE_R > 0.5,445,71,374,0.189839572193,-0.538693966065
session,Session_C,15,MAE_R > 0.5,116,24,92,0.260869565217,-0.439544306277
session,Session_C,30,MAE_R > 0.5,160,34,126,0.269841269841,-0.459502736288
candidate,10:00-17:00,15,MAE_R > 0.5,349,55,294,0.187074829932,-0.535490230505
candidate,10:00-17:00,30,MAE_R > 0.5,445,71,374,0.189839572193,-0.538693966065
