analysis,hypothesis_id,scope,label,instrument,session,time_dimension,time_value,descriptive_class,excluded_values,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
time_slice,M5_TIME_MONTH_02-February,T2,02-February,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,02-February,positive,DATA_UNAVAILABLE,66,1.22406847317,0.135563041567,8.9471607434,-24.2619883636,0.368772773662,0.348484848485
time_slice,M5_TIME_MONTH_03-March,T2,03-March,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,03-March,positive,DATA_UNAVAILABLE,68,1.27362854258,0.153745015078,10.4546610253,-9.86958814164,1.05928037475,0.308823529412
time_slice,M5_TIME_MONTH_04-April,T2,04-April,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,04-April,negative,DATA_UNAVAILABLE,66,0.979664796377,-0.0140853216242,-0.929631227199,-25.5347440525,-0.0364065222384,0.257575757576
time_slice,M5_TIME_MONTH_05-May,T2,05-May,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,05-May,negative,DATA_UNAVAILABLE,57,0.968209417934,-0.0205882000479,-1.17352740273,-18.0597153618,-0.0649803930581,0.245614035088
time_slice,M5_TIME_MONTH_06-June,T2,06-June,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,06-June,positive,DATA_UNAVAILABLE,54,1.31843129719,0.171620781388,9.26752219496,-10.5786412017,0.876059790502,0.277777777778
time_slice,M5_TIME_MONTH_07-July,T2,07-July,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,07-July,negative,DATA_UNAVAILABLE,75,0.913457663942,-0.0478869651524,-3.59152238643,-17.5054318615,-0.205166168698,0.28
time_slice,M5_TIME_MONTH_08-August,T2,08-August,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,08-August,negative,DATA_UNAVAILABLE,71,0.897005126346,-0.0668348462884,-4.74527408648,-23.2513462919,-0.204085992566,0.295774647887
time_slice,M5_TIME_MONTH_09-September,T2,09-September,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,09-September,negative,DATA_UNAVAILABLE,79,0.902615823737,-0.0561218257693,-4.43362423577,-21.3965948881,-0.207211673584,0.278481012658
time_slice,M5_TIME_MONTH_10-October,T2,10-October,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,10-October,negative,DATA_UNAVAILABLE,66,0.884155148112,-0.0613123763886,-4.04661684165,-9.28486819142,-0.435829217844,0.318181818182
time_slice,M5_TIME_MONTH_11-November,T2,11-November,DATA_UNAVAILABLE,DATA_UNAVAILABLE,month,11-November,positive,DATA_UNAVAILABLE,78,1.66320864933,0.359309075094,28.0261078574,-9.58977283725,2.92249966011,0.346153846154
