year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,1,1,,2.7449989655,2.7449989655,0,,1
2023,2,6,5.08441374914,1.05907558335,6.35445350008,-0.607958953924,10.4521094049,0.333333333333
2023,3,5,4.05890699994,0.674821917512,3.37410958756,-1.01364211492,3.328699092,0.6
2023,4,6,2.98889271392,0.936871217507,5.62122730504,-2.82630996922,1.98889271392,0.5
2023,5,4,2.83029429549,0.464758134512,1.85903253805,-1.01570143262,1.83029429549,0.75
2023,6,5,0.217919536156,-0.358332231499,-1.7916611575,-2.28578885025,-0.78382618644,0.2
2023,7,3,3.45922933143,0.643877670501,1.9316330115,-0.785462741036,2.45922933143,0.333333333333
2023,8,9,2.05317943489,0.275479177096,2.47931259386,-1.00715920355,2.46168886221,0.666666666667
2023,9,4,1.15880494804,0.0543702258486,0.217480903394,-1.36948442776,0.158804948042,0.5
2023,10,7,41.7067774033,1.36920886758,9.58446207309,-0.235451261055,40.7067774033,0.857142857143
2023,11,4,4.29359691732,1.57915839442,6.31663357767,-1.00824235434,6.26499526673,0.5
2023,12,7,1.32944941916,0.227402158799,1.59181511159,-4.80732720716,0.331122688969,0.285714285714
2024,1,5,3.97815027789,0.379691674988,1.89845837494,-0.637462249316,2.97815027789,0.8
2024,2,6,0.290925877912,-0.402765244838,-2.41659146903,-2.5048423285,-0.964767898377,0.333333333333
2024,3,3,1.44062006126,0.172896712578,0.518690137733,-1.17718230136,0.440620061256,0.333333333333
2024,4,8,1.30455900153,0.152239606768,1.21791685414,-2.97817883475,0.408946850314,0.5
2024,5,5,0.510373710641,-0.167002312478,-0.835011562389,-1.3340304521,-0.625931410391,0.6
2024,6,3,9.62525538983,2.43585445851,7.30756337554,-0.847228637908,8.62525538983,0.666666666667
2024,7,2,6.13692532593,1.23418471459,2.46836942918,-0.480514952539,5.13692532593,0.5
2024,8,5,2.14281639801,0.419179705104,2.09589852552,-1.00755240423,2.08018810409,0.4
2024,9,5,1.40832857967,0.210216203198,1.05108101599,-1.56199765737,0.672908189733,0.4
2024,10,7,3.2559820776,0.653204563627,4.57243194539,-1.0170475843,4.4957895933,0.714285714286
2024,11,8,2.90267296497,0.860710822247,6.88568657798,-2.41202233482,2.85473582835,0.375
2024,12,4,0.702547477347,-0.185286398452,-0.741145593806,-2.49164332915,-0.297452522653,0.25
