trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit
Si-000001,T3_MTF_Trend_v1.0,Si,LONG,2023-02-20 23:00:00+03:00,74.79,74.3314168332497,0.45858316675030153,2023-02-21 13:00:00+03:00,74.3314168332497,ATR_TRAILING_STOP,5,-1000.0,-1.0,0.45858316675030153,0.18999999999999773,1.0,0.4143196126155514,-0.45858316675030153,-5.361259080163751,2180.6295400818753,4361.259080163751,-5361.259080163751
CNY-000001,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-22 19:00:00+03:00,10.91,10.840843470834105,0.06915652916589465,2023-02-24 11:00:00+03:00,10.86065000302071,ATR_TRAILING_STOP,7,-713.5985217087381,-0.7135985217087382,0.049349996979289656,0.05000000000000071,0.7135985217087382,0.722997533321247,-0.049349996979289656,-0.7425184230415877,14459.950666424735,28.91990133284947,-742.5184230415875
Si-000002,T3_MTF_Trend_v1.0,Si,LONG,2023-02-22 18:00:00+03:00,75.09,74.58622070383774,0.5037792961622642,2023-02-24 11:00:00+03:00,74.80982092887996,ATR_TRAILING_STOP,8,-526.3375197211315,-0.5561543978770446,0.28017907112004536,0.3999999999999915,0.5561543978770446,0.793998489114475,-0.28017907112004536,-4.526146843449505,1878.5754325511957,3757.1508651023914,-4283.488384823523
Si-000003,T3_MTF_Trend_v1.0,Si,LONG,2023-02-24 14:00:00+03:00,75.9,75.32331624930134,0.5766837506986633,2023-02-27 10:00:00+03:00,75.55201297429869,ATR_TRAILING_STOP,11,-545.2287418894173,-0.6034278324640183,0.3479870257013147,0.47999999999998977,0.6034278324640183,0.8323452835604622,-0.3479870257013147,-4.071533180632684,1566.8076727590405,3133.615345518081,-3678.8440874074986
CNY-000002,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-01 10:00:00+03:00,10.86,10.778872776066624,0.08112722393337535,2023-03-02 19:00:00+03:00,10.859108293541112,ATR_TRAILING_STOP,24,-10.909844208120797,-0.010991457807300847,0.009999999999999787,0.08999999999999986,0.12326318484917163,1.1093686636425666,-0.0008917064588871426,-0.035644094777135704,12234.793299284134,24.46958659856827,-35.379430806689065
CNY-000003,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-17 20:00:00+03:00,11.22,11.146921450293412,0.07307854970658845,2023-03-20 14:00:00+03:00,11.185641114369002,ATR_TRAILING_STOP,9,-466.5063651912566,-0.47016375898194956,0.05000000000000071,0.09999999999999964,0.6841952967149939,1.3683905934299634,-0.03435888563099887,-0.49753157085054894,13577.459123714149,27.1549182474283,-493.6612834386849
Si-000004,T3_MTF_Trend_v1.0,Si,LONG,2023-03-20 11:00:00+03:00,77.64,77.19720918215454,0.4427908178454629,2023-03-20 14:00:00+03:00,77.19720918215454,ATR_TRAILING_STOP,3,-866.7640844760523,-1.0,0.4427908178454629,0.060000000000002274,1.0,0.13550416490556652,-0.4427908178454629,-5.516805496852046,1957.502390617682,3915.004781235364,-4781.768865711417
CNY-000004,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-03 18:00:00+03:00,11.44,11.364705779251553,0.0752942207484466,2023-04-04 16:00:00+03:00,11.48262896179291,ATR_TRAILING_STOP,13,558.9659991928494,0.5661651235535263,0.009999999999999787,0.15000000000000036,0.13281231813805705,1.992184772070903,0.04262896179291076,0.5396026599259144,13112.353097133275,26.22470619426655,532.7412929985828
Si-000005,T3_MTF_Trend_v1.0,Si,LONG,2023-04-03 18:00:00+03:00,78.73,78.27483481739513,0.4551651826048726,2023-04-04 16:00:00+03:00,79.07696531791044,ATR_TRAILING_STOP,13,624.2700615868195,0.7622843995333245,0.0799999999999983,1.0699999999999932,0.1757603680100594,2.3507949221345794,0.3469653179104313,-3.631724800718254,1799.2289988706425,3598.457997741285,-2974.1879361544657
CNY-000005,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-05 18:00:00+03:00,11.6,11.531288363783355,0.06871163621664422,2023-04-07 14:00:00+03:00,11.93836140317342,ATR_TRAILING_STOP,26,4887.986187516144,4.9243682992293305,0.02999999999999936,0.5,0.43660727137119715,7.276787856186774,0.3383614031734208,4.895261147804583,14446.051298028511,28.892102596057022,4859.094084920087
Si-000006,T3_MTF_Trend_v1.0,Si,LONG,2023-04-05 18:00:00+03:00,79.91,79.47609224728258,0.4339077527174169,2023-04-07 14:00:00+03:00,82.17888043099734,ATR_TRAILING_STOP,26,4126.708205213926,5.228946514064601,0.12999999999999545,3.2700000000000102,0.29960285149516136,7.5361640337631925,2.268880430997342,0.6196718756773425,1818.8301811038716,3637.660362207743,489.0478430061826
Si-000007,T3_MTF_Trend_v1.0,Si,LONG,2023-04-11 12:00:00+03:00,82.34,81.70994630417908,0.6300536958209193,2023-04-12 12:00:00+03:00,81.9710889273742,ATR_TRAILING_STOP,15,-464.9610632773447,-0.5855232261516047,0.4200000000000017,0.28000000000000114,0.6666098505346736,0.4444065670231157,-0.36891107262580647,-3.7598558477452757,1260.360823457754,2520.721646915508,-2985.6827101928525
CNY-000006,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-11 12:00:00+03:00,11.96,11.871098454026429,0.08890154597357203,2023-04-12 19:00:00+03:00,11.892689296820656,ATR_TRAILING_STOP,22,-788.3337609300935,-0.7571376002769914,0.06731070317934496,0.02999999999999936,0.7571376002769914,0.3374519494736068,-0.06731070317934496,-0.7796343969085656,11711.863399044129,23.423726798088257,-811.7574877281818
Si-000008,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-04 12:00:00+03:00,78.51,79.01627284037826,0.5062728403782586,2023-05-05 16:00:00+03:00,77.30903073247775,ATR_TRAILING_STOP,19,1812.9089284982872,2.3721779478135883,0.0899999999999892,2.200000000000003,0.17776975737577838,4.3454829580751095,1.2009692675222539,-1.5782611049819608,1509.5381518284307,3019.0763036568615,-1206.1673751585743
CNY-000007,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-04 12:00:00+03:00,11.37,11.441204479027782,0.0712044790277826,2023-05-08 10:00:00+03:00,11.191455444821731,ATR_TRAILING_STOP,28,2590.451300074255,2.507490506441367,0.010000000000001563,0.3099999999999987,0.14044060340782435,4.353658705641857,0.17854455517826828,2.479402385759806,14508.710710824042,29.017421421648084,2561.433878652607
CNY-000008,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-10 13:00:00+03:00,11.03,11.133048833123484,0.10304883312348423,2023-05-11 14:00:00+03:00,10.96953624105843,ATR_TRAILING_STOP,16,621.1904687362224,0.5867486036364461,0.0,0.20999999999999908,0.0,2.0378687815742116,0.06046375894156952,0.5673403295262154,10273.765303551892,20.547530607103784,600.6429381291186
Si-000009,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-10 13:00:00+03:00,76.46,77.15090931196661,0.690909311966621,2023-05-11 14:00:00+03:00,76.30700151283008,ATR_TRAILING_STOP,16,166.56580491640491,0.2214451079468177,0.07000000000000739,1.1599999999999966,0.10131575705754739,1.6789468312391747,0.15299848716990994,-2.673290807982802,1088.676156199035,2177.35231239807,-2010.786507481665
Si-000010,T3_MTF_Trend_v1.0,Si,LONG,2023-05-16 12:00:00+03:00,80.21,79.54661484789396,0.6633851521060308,2023-05-17 17:00:00+03:00,80.31966218131153,ATR_TRAILING_STOP,20,121.01603791785013,0.16530695775055151,0.3299999999999983,0.8700000000000045,0.497448577123495,1.3114553396892277,0.10966218131153482,-2.849532903603979,1103.5348419165637,2207.0696838331273,-2086.0536459152772
Si-000011,T3_MTF_Trend_v1.0,Si,LONG,2023-06-02 16:00:00+03:00,81.23,80.8027519677035,0.42724803229650377,2023-06-05 12:00:00+03:00,81.3331497227442,ATR_TRAILING_STOP,11,171.7056885211964,0.241428198486371,0.12000000000000455,0.6400000000000006,0.28086729704755276,1.4979589175868928,0.10314972274419176,-4.439693418972665,1664.6257881567108,3329.2515763134215,-3157.545887792225
CNY-000009,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-13 20:00:00+03:00,11.77,11.68820969124187,0.08179030875812998,2023-06-14 13:00:00+03:00,11.745590985778621,ATR_TRAILING_STOP,8,-317.7445251006866,-0.29843406379061915,0.0244090142213782,0.09999999999999964,0.29843406379061915,1.2226387394589657,-0.0244090142213782,-0.32288683857979855,13017.507475676577,26.035014951353155,-343.77954005203975
Si-000012,T3_MTF_Trend_v1.0,Si,LONG,2023-06-13 19:00:00+03:00,84.32,83.78029444563143,0.5397055543685667,2023-06-14 13:00:00+03:00,84.1886177753515,ATR_TRAILING_STOP,9,-165.44511470415526,-0.24343315273492444,0.13138222464849036,0.6800000000000068,0.24343315273492444,1.259946269768483,-0.13138222464849036,-3.949157475583367,1259.265590507386,2518.531181014772,-2683.9762957189273
CNY-000010,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-16 19:00:00+03:00,11.8,11.729631173509565,0.07036882649043541,2023-06-19 11:00:00+03:00,11.73042861783563,ATR_TRAILING_STOP,7,-1049.2414957195672,-0.9886676477946849,0.06957138216437109,0.02999999999999936,0.9886676477946849,0.42632514276868017,-0.06957138216437109,-1.0170893239792642,15081.509998473266,30.16301999694653,-1079.4045157165137
Si-000013,T3_MTF_Trend_v1.0,Si,LONG,2023-06-16 19:00:00+03:00,84.18,83.63209432115838,0.5479056788416301,2023-06-19 12:00:00+03:00,83.7762342337329,ATR_TRAILING_STOP,8,-481.059831675684,-0.7369256823925355,0.4037657662671137,0.3499999999999943,0.7369256823925355,0.6387960802668745,-0.4037657662671137,-4.387188998203306,1191.4329343053714,2382.865868610743,-2863.925700286427
Si-000014,T3_MTF_Trend_v1.0,Si,LONG,2023-06-20 18:00:00+03:00,84.74,84.32079956259075,0.41920043740924484,2023-06-21 10:00:00+03:00,84.41260547181975,ATR_TRAILING_STOP,7,-487.4624633499021,-0.7809975824539288,0.3273945281802497,0.19000000000001194,0.7809975824539288,0.45324380187734453,-0.3273945281802497,-5.551984970636203,1488.9145095348865,2977.829019069773,-3465.291482419675
CNY-000011,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-28 15:00:00+03:00,11.84,11.766679257746063,0.07332074225393725,2023-06-29 22:00:00+03:00,12.09,ATR_TRAILING_STOP,22,3581.776734818712,3.409676338711304,0.009999999999999787,0.4499999999999993,0.13638705354844927,6.137417409680338,0.25,3.3823989280016136,14327.106939274849,28.654213878549697,3553.1225209401623
Si-000015,T3_MTF_Trend_v1.0,Si,LONG,2023-06-28 15:00:00+03:00,85.92,85.42001082184412,0.49998917815588584,2023-06-30 11:00:00+03:00,88.05,ATR_TRAILING_STOP,26,2511.3273314348185,4.2600922041074805,0.15000000000000568,8.789999999999992,0.30000649324701767,17.580380504274554,2.1299999999999955,0.2600056274807301,1179.026916166584,2358.053832333168,153.2734991016505
CNY-000012,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-30 19:00:00+03:00,12.35,12.2200432470278,0.1299567529722001,2023-07-03 10:00:00+03:00,12.2200432470278,ATR_TRAILING_STOP,6,-1086.0053403485686,-1.0,0.1299567529722001,0.009999999999999787,1.0,0.07694867539618316,-0.1299567529722001,-1.015389735079237,8356.66724130052,16.71333448260104,-1102.7186748311697
CNY-000013,T3_MTF_Trend_v1.0,CNY,LONG,2023-07-04 12:00:00+03:00,12.38,12.261988645948309,0.11801135405169205,2023-07-04 18:00:00+03:00,12.2917765765011,ATR_TRAILING_STOP,6,-803.6366810569812,-0.7475841982141552,0.088223423498901,0.08999999999999986,0.7475841982141552,0.7626384827393601,-0.088223423498901,-0.7645317200528077,9109.107867107334,18.218215734214667,-821.8548967911959
Si-000016,T3_MTF_Trend_v1.0,Si,LONG,2023-07-04 15:00:00+03:00,89.65,88.87552926729258,0.7744707327074281,2023-07-04 18:00:00+03:00,88.87552926729258,ATR_TRAILING_STOP,3,-591.0334338288153,-1.0,0.7744707327074281,0.4199999999999875,1.0,0.5423058383778215,-0.7744707327074281,-3.5824087541801797,763.1449567663523,1526.2899135327045,-2117.32334736152
CNY-000014,T3_MTF_Trend_v1.0,CNY,LONG,2023-07-06 11:00:00+03:00,12.86,12.686064424390485,0.173935575609514,2023-07-06 13:00:00+03:00,12.686064424390485,ATR_TRAILING_STOP,2,-1066.759604632345,-1.0,0.173935575609514,0.040000000000000924,1.0,0.22997020511664082,-0.173935575609514,-1.0114985102558318,6133.073127186034,12.26614625437207,-1079.0257508867169
