trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R
Si-000001,T3_MTF_Trend_v1.0,Si,LONG,2023-02-20 23:00:00+03:00,74.79,74.3314168332497,0.45858316675030153,2023-02-21 13:00:00+03:00,74.3314168332497,ATR_TRAILING_STOP,5,-1000.0,-1.0,0.45858316675030153,0.18999999999999773,1.0,0.4143196126155514,-0.45858316675030153,-1.0087225181603274,2180.6295400818753,8.722518160327501,-1008.7225181603275,0.001,458.58316675030153,0.008722518160327502
CNY-000001,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-22 19:00:00+03:00,10.91,10.840843470834105,0.06915652916589465,2023-02-24 11:00:00+03:00,10.86065000302071,ATR_TRAILING_STOP,7,-713.5985217087381,-0.7135985217087382,0.049349996979289656,0.05000000000000071,0.7135985217087382,0.722997533321247,-0.049349996979289656,-0.7714383243744372,14459.950666424735,57.83980266569894,-771.438324374437,0.001,69.15652916589465,0.05783980266569894
Si-000002,T3_MTF_Trend_v1.0,Si,LONG,2023-02-22 18:00:00+03:00,75.09,74.58622070383774,0.5037792961622642,2023-02-24 11:00:00+03:00,74.80982092887996,ATR_TRAILING_STOP,8,-550.5443432299198,-0.5561543978770446,0.28017907112004536,0.3999999999999915,0.5561543978770446,0.793998489114475,-0.28017907112004536,-0.5640943827681895,1964.9731189023535,7.859892475609414,-558.4042357055292,0.001,503.77929616226425,0.00793998489114492
Si-000003,T3_MTF_Trend_v1.0,Si,LONG,2023-02-24 14:00:00+03:00,75.9,75.32331624930134,0.5766837506986633,2023-02-27 10:00:00+03:00,75.55201297429869,ATR_TRAILING_STOP,11,-593.9713534612018,-0.6034278324640183,0.3479870257013147,0.47999999999998977,0.6034278324640183,0.8323452835604622,-0.3479870257013147,-0.6103640431603556,1706.8778707026313,6.827511482810525,-600.7988649440124,0.001,576.6837506986633,0.006936210696337332
CNY-000002,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-01 10:00:00+03:00,10.86,10.778872776066624,0.08112722393337535,2023-03-02 19:00:00+03:00,10.859108293541112,ATR_TRAILING_STOP,24,-10.906665489367883,-0.010991457807300847,0.009999999999999787,0.08999999999999986,0.12326318484917163,1.1093686636425666,-0.0008917064588871426,-0.060296731746970554,12231.228540140324,48.9249141605613,-59.83157964992918,0.001,81.12722393337535,0.04930527393966971
CNY-000003,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-17 20:00:00+03:00,11.22,11.146921450293412,0.07307854970658845,2023-03-20 14:00:00+03:00,11.185641114369002,ATR_TRAILING_STOP,9,-466.255429153903,-0.47016375898194956,0.05000000000000071,0.09999999999999964,0.6841952967149939,1.3683905934299634,-0.03435888563099887,-0.5248993827191483,13570.155742572846,54.28062297029138,-520.5360521241944,0.001,73.07854970658845,0.05473562373719873
Si-000004,T3_MTF_Trend_v1.0,Si,LONG,2023-03-20 11:00:00+03:00,77.64,77.19720918215454,0.4427908178454629,2023-03-20 14:00:00+03:00,77.19720918215454,ATR_TRAILING_STOP,3,-978.3207438119014,-1.0,0.4427908178454629,0.060000000000002274,1.0,0.13550416490556652,-0.4427908178454629,-1.0090336109937041,2209.442256666989,8.837769026667956,-987.1585128385693,0.001,442.7908178454629,0.009033610993704092
CNY-000004,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-03 18:00:00+03:00,11.44,11.364705779251553,0.0752942207484466,2023-04-04 16:00:00+03:00,11.48262896179291,ATR_TRAILING_STOP,13,558.5116696916939,0.5661651235535263,0.009999999999999787,0.15000000000000036,0.13281231813805705,1.992184772070903,0.04262896179291076,0.5130401962983023,13101.695331097062,52.40678132438825,506.10488836730565,0.001,75.2942207484466,0.053124927255223955
Si-000005,T3_MTF_Trend_v1.0,Si,LONG,2023-04-03 18:00:00+03:00,78.73,78.27483481739513,0.4551651826048726,2023-04-04 16:00:00+03:00,79.07696531791044,ATR_TRAILING_STOP,13,738.2336854056169,0.7622843995333245,0.0799999999999983,1.0699999999999932,0.1757603680100594,2.3507949221345794,0.3469653179104313,0.7534963811328214,2127.6872566156344,8.510749026462538,729.7229363791544,0.001,455.1651826048726,0.008788018400503158
CNY-000005,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-05 18:00:00+03:00,11.6,11.531288363783355,0.06871163621664422,2023-04-07 14:00:00+03:00,11.93836140317342,ATR_TRAILING_STOP,26,4882.722863941267,4.9243682992293305,0.02999999999999936,0.5,0.43660727137119715,7.276787856186774,0.3383614031734208,4.866153996379836,14430.495967173652,57.72198386869461,4825.000880072573,0.001,68.71163621664422,0.05821430284949419
Si-000006,T3_MTF_Trend_v1.0,Si,LONG,2023-04-05 18:00:00+03:00,79.91,79.47609224728258,0.4339077527174169,2023-04-07 14:00:00+03:00,82.17888043099734,ATR_TRAILING_STOP,26,5102.125674391093,5.228946514064601,0.12999999999999545,3.2700000000000102,0.29960285149516136,7.5361640337631925,2.268880430997342,5.219727964787826,2248.741539962213,8.994966159848852,5093.130708231244,0.001,433.9077527174169,0.00921854927677452
Si-000007,T3_MTF_Trend_v1.0,Si,LONG,2023-04-11 12:00:00+03:00,82.34,81.70994630417908,0.6300536958209193,2023-04-12 12:00:00+03:00,81.9710889273742,ATR_TRAILING_STOP,15,-601.1436362701886,-0.5855232261516047,0.4200000000000017,0.28000000000000114,0.6666098505346736,0.4444065670231157,-0.36891107262580647,-0.591871891394792,1629.5082497562767,6.518032999025107,-607.6616692692137,0.001,630.0536958209193,0.006348665243187342
CNY-000006,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-11 12:00:00+03:00,11.96,11.871098454026429,0.08890154597357203,2023-04-12 19:00:00+03:00,11.892689296820656,ATR_TRAILING_STOP,22,-787.2663753836009,-0.7571376002769914,0.06731070317934496,0.02999999999999936,0.7571376002769914,0.3374519494736068,-0.06731070317934496,-0.80213119354014,11696.005808853033,46.784023235412135,-834.0503986190131,0.001,88.90154597357203,0.044993593263148536
Si-000008,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-04 12:00:00+03:00,78.51,79.01627284037826,0.5062728403782586,2023-05-05 16:00:00+03:00,77.30903073247775,ATR_TRAILING_STOP,19,2421.047371782846,2.3721779478135883,0.0899999999999892,2.200000000000003,0.17776975737577838,4.3454829580751095,1.2009692675222539,2.364277069707997,2015.911178791246,8.063644715164983,2412.983727067681,0.001,506.2728403782586,0.007900878105591098
CNY-000007,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-04 12:00:00+03:00,11.37,11.441204479027782,0.0712044790277826,2023-05-08 10:00:00+03:00,11.191455444821731,ATR_TRAILING_STOP,28,2586.357336893103,2.507490506441367,0.010000000000001563,0.3099999999999987,0.14044060340782435,4.353658705641857,0.17854455517826828,2.451314265078246,14485.781066304417,57.94312426521767,2528.4142126278853,0.001,71.2044790277826,0.056176241363120966
CNY-000008,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-10 13:00:00+03:00,11.03,11.133048833123484,0.10304883312348423,2023-05-11 14:00:00+03:00,10.96953624105843,ATR_TRAILING_STOP,16,620.0387457387915,0.5867486036364461,0.0,0.20999999999999908,0.0,2.0378687815742116,0.06046375894156952,0.5479320554159848,10254.717149457736,41.018868597830945,579.0198771409605,0.001,103.04883312348423,0.03881654822046135
Si-000009,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-10 13:00:00+03:00,76.46,77.15090931196661,0.690909311966621,2023-05-11 14:00:00+03:00,76.30700151283008,ATR_TRAILING_STOP,16,231.35055040424814,0.2214451079468177,0.07000000000000739,1.1599999999999966,0.10131575705754739,1.6789468312391747,0.15299848716990994,0.21565563611495847,1512.110052090421,6.048440208361685,225.30211019588646,0.001,690.909311966621,0.0057894718318592395
Si-000010,T3_MTF_Trend_v1.0,Si,LONG,2023-05-16 12:00:00+03:00,80.21,79.54661484789396,0.6633851521060308,2023-05-17 17:00:00+03:00,80.31966218131153,ATR_TRAILING_STOP,20,173.07372940768457,0.16530695775055151,0.3299999999999983,0.8700000000000045,0.497448577123495,1.3114553396892277,0.10966218131153482,0.15927727802784244,1578.244453445682,6.312977813782728,166.76075159390183,0.001,663.3851521060308,0.0060296797227090615
Si-000011,T3_MTF_Trend_v1.0,Si,LONG,2023-06-02 16:00:00+03:00,81.23,80.8027519677035,0.42724803229650377,2023-06-05 12:00:00+03:00,81.3331497227442,ATR_TRAILING_STOP,11,253.17405318645683,0.241428198486371,0.12000000000000455,0.6400000000000006,0.28086729704755276,1.4979589175868928,0.10314972274419176,0.23206595525145293,2454.4327066619553,9.817730826647821,243.356322359809,0.001,427.24803229650377,0.009362243234918072
CNY-000009,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-13 20:00:00+03:00,11.77,11.68820969124187,0.08179030875812998,2023-06-14 13:00:00+03:00,11.745590985778621,ATR_TRAILING_STOP,8,-317.0942012659043,-0.29843406379061915,0.0244090142213782,0.09999999999999964,0.29843406379061915,1.2226387394589657,-0.0244090142213782,-0.34733961336897795,12990.864702278022,51.96345880911209,-369.0576600750164,0.001,81.79030875812998,0.048905549578358805
Si-000012,T3_MTF_Trend_v1.0,Si,LONG,2023-06-13 19:00:00+03:00,84.32,83.78029444563143,0.5397055543685667,2023-06-14 13:00:00+03:00,84.1886177753515,ATR_TRAILING_STOP,9,-255.8689615234046,-0.24343315273492444,0.13138222464849036,0.6800000000000068,0.24343315273492444,1.259946269768483,-0.13138222464849036,-0.2508446013806213,1947.5158242142359,7.790063296856943,-263.65902482026155,0.001,539.7055543685667,0.007411448645696885
CNY-000010,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-16 19:00:00+03:00,11.8,11.729631173509565,0.07036882649043541,2023-06-19 11:00:00+03:00,11.73042861783563,ATR_TRAILING_STOP,7,-1046.8371530253332,-0.9886676477946849,0.06957138216437109,0.02999999999999936,0.9886676477946849,0.42632514276868017,-0.06957138216437109,-1.0455110001638435,15046.950634846517,60.18780253938607,-1107.0249555647192,0.001,70.36882649043541,0.05684335236915857
Si-000013,T3_MTF_Trend_v1.0,Si,LONG,2023-06-16 19:00:00+03:00,84.18,83.63209432115838,0.5479056788416301,2023-06-19 12:00:00+03:00,83.7762342337329,ATR_TRAILING_STOP,8,-772.6286390654062,-0.7369256823925355,0.4037657662671137,0.3499999999999943,0.7369256823925355,0.6387960802668745,-0.4037657662671137,-0.744226209024157,1913.5565806098307,7.654226322439323,-780.2828653878455,0.001,547.9056788416301,0.007300526631621541
Si-000014,T3_MTF_Trend_v1.0,Si,LONG,2023-06-20 18:00:00+03:00,84.74,84.32079956259075,0.41920043740924484,2023-06-21 10:00:00+03:00,84.41260547181975,ATR_TRAILING_STOP,7,-812.741767024426,-0.7809975824539288,0.3273945281802497,0.19000000000001194,0.7809975824539288,0.45324380187734453,-0.3273945281802497,-0.7905395572302933,2482.453728050594,9.929814912202376,-822.6715819366284,0.001,419.20043740924484,0.009541974776364549
CNY-000011,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-28 15:00:00+03:00,11.84,11.766679257746063,0.07332074225393725,2023-06-29 22:00:00+03:00,12.09,ATR_TRAILING_STOP,22,3572.542968977343,3.409676338711304,0.009999999999999787,0.4499999999999993,0.13638705354844927,6.137417409680338,0.25,3.355121517291923,14290.171875909373,57.16068750363749,3515.382281473706,0.001,73.32074225393725,0.05455482141938087
Si-000015,T3_MTF_Trend_v1.0,Si,LONG,2023-06-28 15:00:00+03:00,85.92,85.42001082184412,0.49998917815588584,2023-06-30 11:00:00+03:00,88.05,ATR_TRAILING_STOP,26,4398.200017515738,4.2600922041074805,0.15000000000000568,8.789999999999992,0.30000649324701767,17.580380504274554,2.1299999999999955,4.252092030954227,2064.882637331337,8.259530549325348,4389.940486966413,0.001,499.98917815588584,0.008000173153253501
CNY-000012,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-30 19:00:00+03:00,12.35,12.2200432470278,0.1299567529722001,2023-07-03 10:00:00+03:00,12.2200432470278,ATR_TRAILING_STOP,6,-1082.9198316927514,-1.0,0.1299567529722001,0.009999999999999787,1.0,0.07694867539618316,-0.1299567529722001,-1.0307794701584738,8332.924660901659,33.331698643606636,-1116.251530336358,0.001,129.9567529722001,0.03077947015847392
CNY-000013,T3_MTF_Trend_v1.0,CNY,LONG,2023-07-04 12:00:00+03:00,12.38,12.261988645948309,0.11801135405169205,2023-07-04 18:00:00+03:00,12.2917765765011,ATR_TRAILING_STOP,6,-801.2288340531151,-0.7475841982141552,0.088223423498901,0.08999999999999986,0.7475841982141552,0.7626384827393601,-0.088223423498901,-0.7814792418914602,9081.815262622358,36.32726105048943,-837.5560951036045,0.001,118.01135405169205,0.03389504367730495
Si-000016,T3_MTF_Trend_v1.0,Si,LONG,2023-07-04 15:00:00+03:00,89.65,88.87552926729258,0.7744707327074281,2023-07-04 18:00:00+03:00,88.87552926729258,ATR_TRAILING_STOP,3,-1076.3183776973171,-1.0,0.7744707327074281,0.4199999999999875,1.0,0.5423058383778215,-0.7744707327074281,-1.0051648175083603,1389.7470004252802,5.558988001701121,-1081.8773656990184,0.001,774.470732707428,0.0051648175083603585
CNY-000014,T3_MTF_Trend_v1.0,CNY,LONG,2023-07-06 11:00:00+03:00,12.86,12.686064424390485,0.173935575609514,2023-07-06 13:00:00+03:00,12.686064424390485,ATR_TRAILING_STOP,2,-1063.3817554383518,-1.0,0.173935575609514,0.040000000000000924,1.0,0.22997020511664082,-0.173935575609514,-1.0229970205116636,6113.653010386142,24.45461204154457,-1087.8363674798964,0.001,173.935575609514,0.022997020511663552
Si-000017,T3_MTF_Trend_v1.0,Si,LONG,2023-07-05 13:00:00+03:00,90.47,89.53430264659012,0.9356973534098785,2023-07-06 13:00:00+03:00,92.1104127311254,ATR_TRAILING_STOP,15,1867.9748415524016,1.7531445666137502,0.23999999999999488,3.200000000000003,0.2564931910145778,3.41990921352778,1.6404127311253944,1.7488696800968404,1138.7224727711603,4.554889891084641,1863.4199516613169,0.001,935.6973534098785,0.004274886516909721
Si-000018,T3_MTF_Trend_v1.0,Si,LONG,2023-08-02 12:00:00+03:00,92.69,92.19223488253485,0.49776511746514984,2023-08-03 11:00:00+03:00,93.36726097862918,ATR_TRAILING_STOP,14,1475.0762859821189,1.3606035354146635,0.060000000000002274,1.710000000000008,0.12053878002852032,3.4353552308127147,0.6772609786291781,1.3525676167460958,2178.002767807135,8.71201107122854,1466.3642749108903,0.001,497.76511746514984,0.008035918668567716
CNY-000015,T3_MTF_Trend_v1.0,CNY,LONG,2023-08-02 12:00:00+03:00,12.92,12.83915578243031,0.08084421756968929,2023-08-07 18:00:00+03:00,13.310081784768393,ATR_TRAILING_STOP,51,5078.438679674287,4.825104336400247,0.0,0.5700000000000003,0.0,7.050597026418732,0.39008178476839284,4.775626462530642,13018.90751625216,52.075630065008646,5026.363049609279,0.001,80.84421756968929,0.04947787386960511
Si-000019,T3_MTF_Trend_v1.0,Si,LONG,2023-08-04 12:00:00+03:00,94.67,93.9704459395002,0.699554060499807,2023-08-07 18:00:00+03:00,95.6151341073667,ATR_TRAILING_STOP,21,1484.5327934331408,1.351052278492148,0.01999999999999602,2.1799999999999926,0.02858964178652143,3.116270954731445,0.9451341073666981,1.3453343501348425,1570.711269292035,6.28284507716814,1478.2499483559727,0.001,699.554060499807,0.005717928357305424
