version,scenario,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
baseline,C1,1563,1.36949736407,0.164794611832,257.573978294,-27.1058951497,9.5025077339,0.401151631478,8,13
candidate,C1,1581,1.36261268342,0.162875006507,257.505385288,-22.5343558886,11.4272352208,0.399746995572,6,14
