direction,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
LONG,863,1.37106565112,0.162773165447,140.473241781,-18.9378095716,7.41760768317,0.419466975666,6,12
SHORT,718,1.35296163697,0.162997414355,117.032143507,-20.3614340275,5.74773581021,0.376044568245,6,11
