year,trade_count,PF,expectancy,net_R,max_DD,recovery_factor,win_rate,max_winning_streak,max_losing_streak
2020,242,1.51426349689,0.217346376681,52.5978231569,-13.2462404713,3.97077369015,0.421487603306,5,9
2021,304,1.05976416863,0.0282125058756,8.57660178617,-20.0375522082,0.428026422442,0.351973684211,4,14
2022,248,1.54450612203,0.245994602261,61.0066613606,-13.481948858,4.5250625116,0.411290322581,6,11
2023,379,1.58086748532,0.245655311228,93.1033629556,-19.0279684273,4.89297442925,0.435356200528,6,12
2024,408,1.21986648945,0.103482686344,42.2209360283,-16.2957239717,2.59092115832,0.382352941176,6,10
