ema50_distance,trades,win_rate,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,average_holding_time,losing_streak,top_1_positive_R_concentration,top_5_positive_R_concentration
near,49,0.30612244898,1.37521265084,0.163622836652,8.01751899594,-7.67437646154,1.04471275759,124.693877551,9,0.391427752028,0.746846056955
normal,351,0.327635327635,1.4467135699,0.237953043586,83.5215182986,-17.2050609619,4.85447383672,89.0455840456,13,0.0540981929223,0.215516679758
extended,1561,0.349135169763,1.05643814013,0.0298852129964,46.6508174874,-54.8693779621,0.85021589856,113.939782191,16,0.0188454300488,0.0595301899745
