scope,analysis,group,variant,candidate_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,median_holding_minutes
T2,holding_time,WINNER,SESSION_FILTER,DATA_UNAVAILABLE,162,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,154.382716049,132.5
T2,holding_time,LOSER,SESSION_FILTER,DATA_UNAVAILABLE,373,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,44.7184986595,35
T3,performance,ALL,BASELINE,T3_M5_candidate_v1,1131,1.15749204634,0.0773919100962,87.5302503188,-42.8121622922,2.04451832452,0.374889478338,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,performance,ALL,SESSION_FILTER,T3_M5_session_candidate_v1,814,1.28778699992,0.138922442491,113.082868188,-24.2580243788,4.66166850283,0.384520884521,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,USDRUBF,BASELINE,DATA_UNAVAILABLE,604,1.36026628195,0.162185403288,97.9599835858,-24.9726410236,3.92269217714,0.402317880795,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,CNYRUBF,BASELINE,DATA_UNAVAILABLE,527,0.963258218331,-0.0197907652126,-10.429733267,-31.5930828032,-0.330127114596,0.343453510436,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,USDRUBF,SESSION_FILTER,DATA_UNAVAILABLE,435,1.53815872638,0.240095622752,104.441595897,-17.6691854422,5.91094571046,0.411494252874,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,instrument,CNYRUBF,SESSION_FILTER,DATA_UNAVAILABLE,379,1.04345244214,0.0228001907399,8.64127229043,-19.8194004715,0.436000690477,0.353562005277,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,direction,LONG,BASELINE,DATA_UNAVAILABLE,648,1.08192120021,0.0400248368192,25.9360942588,-41.0900719269,0.631200994366,0.385802469136,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,direction,SHORT,BASELINE,DATA_UNAVAILABLE,483,1.25752475466,0.127524132629,61.59415606,-30.1885447452,2.04031550973,0.360248447205,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,direction,LONG,SESSION_FILTER,DATA_UNAVAILABLE,466,1.14980172924,0.0722144681906,33.6519421768,-33.2907953455,1.01084824882,0.388412017167,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,direction,SHORT,SESSION_FILTER,DATA_UNAVAILABLE,348,1.47197087853,0.228249787387,79.4309260108,-20.3576605673,3.90177082225,0.379310344828,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Monday,BASELINE,DATA_UNAVAILABLE,230,1.46366854289,0.201148406009,46.264133382,-23.2398023263,1.99072835184,0.413043478261,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Tuesday,BASELINE,DATA_UNAVAILABLE,200,1.14530259401,0.0655223017468,13.1044603494,-14.6929838742,0.891885573522,0.42,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Wednesday,BASELINE,DATA_UNAVAILABLE,221,0.823605602705,-0.0958158515151,-21.1753031848,-33.9352234412,-0.623991859713,0.316742081448,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Thursday,BASELINE,DATA_UNAVAILABLE,224,1.24392696854,0.12074231861,27.0462793686,-17.3137689045,1.56212546891,0.383928571429,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Friday,BASELINE,DATA_UNAVAILABLE,251,1.21093632083,0.109079856246,27.3790439178,-26.9906285416,1.01439074958,0.354581673307,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Monday,SESSION_FILTER,DATA_UNAVAILABLE,158,1.55546034866,0.238324341399,37.6552459411,-18.3331075321,2.05394780318,0.424050632911,DATA_UNAVAILABLE,DATA_UNAVAILABLE
T3,weekday,Tuesday,SESSION_FILTER,DATA_UNAVAILABLE,144,1.10054133621,0.0458166055121,6.59759119374,-16.1409413786,0.408748847977,0.409722222222,DATA_UNAVAILABLE,DATA_UNAVAILABLE
