direction,trades,mean_MAE_R,median_MAE_R,p75_MAE_R,p90_MAE_R,mean_MFE_R,median_MFE_R,p75_MFE_R,p90_MFE_R
LONG,20,0.647959779832,0.756591099812,0.974282637778,1,1.26634048929,1.52712229175,2.07628386644,2.27986693594
SHORT,19,0.534322346149,0.411523611423,1,1,2.66142224674,0.820685522483,2.13934466517,6.09543259924
