symbol,fold_id,trades,wins,losses,PF,expectancy_R,net_R,max_DD_R,winrate,median_R,average_win_R,average_loss_R,LONG_expectancy,SHORT_expectancy,median_MAE,median_MFE
Si,ALL,21,8,13,1.64394809475,0.310248251002,6.51521327105,-5.08557933827,0.380952380952,-0.416082975436,2.0791024407,-0.778277404193,0.151140100167,0.485267216922,0.734710947,0.820685522483
Si,WF01,7,1,6,0.0641945866423,-0.629612868289,-4.40729007802,-4.40729007802,0.142857142857,-1.00347296522,0.302332259178,-0.7849370562,-0.597164155343,-0.710734650653,1,0.260472391829
Si,WF02,5,2,3,6.51805317708,1.85717612252,9.28588061258,-1.00452899369,0.4,-0.0695842259696,5.48434943326,-0.560939417979,,1.85717612252,0.063064997544,1.69499939066
Si,WF03,9,5,4,1.43934226941,0.181846970721,1.63662273649,-2.18306901637,0.555555555556,0.538009080102,1.07235767997,-0.931291415844,0.774726979758,-1.00391304735,0.90759731492,1.89759687226
CNY,ALL,18,8,10,2.6824679692,0.720222174387,12.963999139,-4.59506892187,0.444444444444,-0.340842282366,2.58366823913,-0.770534677409,-0.181265939993,1.62171028877,0.53563816973,1.07833984285
CNY,WF01,6,1,5,0.328049343755,-0.51460992959,-3.08765957754,-4.59506892187,0.166666666667,-0.895826955529,1.50740934433,-0.919013784374,-0.947721936504,0.351614084239,0.955631401631,0.44251310347
CNY,WF02,7,3,4,5.92289243722,1.98459491863,13.8921644304,-1.49196489226,0.428571428571,-0.39335836138,5.57137202643,-0.705487912217,,1.98459491863,0.376445202599,1.27050255877
CNY,WF03,5,4,1,8.48976076741,0.431898857217,2.15949428608,-0.288326203352,0.8,0.399123769166,0.611955122359,-0.288326203352,0.431898857217,,0.442906836221,1.79048388103
