fold_id,group,mean_MAE_R,median_MAE_R,mean_MFE_R,median_MFE_R,p75_MAE_R,p90_MAE_R,p75_MFE_R,p90_MFE_R
WF01,all,0.740457991667,0.965710183704,0.741518413817,0.283163201067,1,1,0.820685522483,1.70381095155
WF01,winners,0.0323016288071,0.0323016288071,2.53631419496,2.53631419496,0.0484524432106,0.0581429318527,2.90477295703,3.12584821428
WF01,losers,0.869213694005,1,0.415191908155,0.260472391829,1,1,0.608959751187,0.820685522483
WF02,all,0.410164315202,0.36390356603,3.74325812165,1.37257779027,0.676049968105,0.989330975258,3.08645068569,11.3478814635
WF02,winners,0.115407371878,0.0150102125327,7.92604344531,4.59473292372,0.210664717396,0.295083044635,12.0982313013,16.1666385446
WF02,losers,0.620704989005,0.603630039948,0.755554319041,0.628120318448,0.946654876288,1,1.06670331052,1.44030129153
WF03,all,0.61167103567,0.68154022512,1.5239282596,1.84404037664,0.941419737702,1,2.16129099311,2.47253630809
WF03,winners,0.507467911262,0.442906836221,2.13823546083,2.07880466678,0.778471252624,0.916616627662,2.24775537392,2.58781695843
WF03,losers,0.799236659604,1,0.418175297376,0.387212526122,1,1,0.434612100715,0.70555111644
