subset,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_R,winrate
ALL_FOLDS,39,2.09292844899,0.499466984872,19.47921241,-9.50322567241,0.410256410256
WITHOUT_WF01,26,4.16662751103,1.03746777175,26.9741620656,-2.49649388595,0.538461538462
WITHOUT_WF02,27,0.72227197974,-0.136993801222,-3.69883263299,-9.67801867193,0.407407407407
WITHOUT_WF03,25,2.13567757667,0.627323815498,15.6830953874,-9.50322567241,0.28
