subset,trades,PF,expectancy,net_R,max_DD
ALL,39,2.09292844899,0.499466984872,19.47921241,-9.50322567241
LONG_ONLY,20,1.00385452764,0.00155738209505,0.031147641901,-6.95212596394
SHORT_ONLY,19,2.99627862017,1.02358235622,19.4480647681,-3.01173914206
