method,seed,iterations,sample_count,p2_5,p5,median,p95,p97_5,probability_mean_R_gt_0,warning
TRADE_IID_BOOTSTRAP_DIAGNOSTIC_ONLY,20260913,10000,39,-0.241860884321,-0.161790977737,0.462982815514,1.31327343558,1.48782835751,0.8714,TEMPORAL_DEPENDENCY_IGNORED
FOLD_BLOCK_BOOTSTRAP_DIAGNOSTIC_ONLY,20260913,10000,39,-0.576534588889,-0.279844557214,0.499466984872,1.31979492391,1.93150375358,0.8544,VERY_LOW_BLOCK_COUNT
