direction,trades,wins,losses,PF,expectancy_R,net_R,max_DD_R,winrate,median_R,average_win_R,average_loss_R,mean_MAE_R,median_MAE_R,mean_MFE_R,median_MFE_R,median_holding_bars,initial_stop_exit_share,trailing_exit_share,profit_concentration_top3
LONG,20,10,10,1.00385452764,0.00155738209505,0.031147641901,-6.95212596394,0.5,-0.0408959216825,0.811194114848,-0.808079350658,0.647959779832,0.756591099812,1.26634048929,1.52712229175,13,0.25,0.75,0.541517222689
SHORT,19,6,13,2.99627862017,1.02358235622,19.4480647681,-3.01173914206,0.315789473684,-0.444439266299,4.86503738169,-0.749396886309,0.534322346149,0.411523611423,2.66142224674,0.820685522483,10,0.315789473684,0.684210526316,0.88416758256
