outcome_group,dimension,category,trades,win_rate,PF,expectancy_R,net_R,average_R,median_R,max_drawdown_contribution_R,average_holding_time
winners,instrument_session,CNYRUBF|Session_B,199,1,DATA_UNAVAILABLE,1.79613073048,357.430015366,1.79613073048,1.20921660097,0,130.502512563
winners,instrument_session,CNYRUBF|Session_C,72,1,DATA_UNAVAILABLE,1.35728328331,97.7243963985,1.35728328331,0.882750471225,0,273.333333333
winners,market_regime,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,DATA_UNAVAILABLE
losers,ALL,ALL,1286,0,0,-0.804758908948,-1034.91995691,-0.804758908948,-0.937268815042,-1034.91995691,82.033437014
losers,ema_position,above_all,707,0,0,-0.80426947866,-568.618521413,-0.80426947866,-0.929478345147,-568.618521413,93.5431400283
losers,ema_position,below_all,566,0,0,-0.806542991414,-456.50333314,-0.806542991414,-0.951774004661,-456.50333314,68.277385159
losers,ema_position,mixed,13,0,0,-0.753700181064,-9.79810235384,-0.753700181064,-0.697121379646,-9.79810235384,55
losers,volatility,low_volatility,292,0,0,-0.886505813017,-258.859697401,-0.886505813017,-1.00599513997,-258.859697401,126.044520548
losers,volatility,normal_volatility,437,0,0,-0.811132913453,-354.465083179,-0.811132913453,-0.985887784787,-354.465083179,69.3363844394
losers,volatility,high_volatility,557,0,0,-0.75690336863,-421.595176327,-0.75690336863,-0.851504189641,-421.595176327,68.9228007181
losers,candle_quality,strong_body,879,0,0,-0.796835859384,-700.418720399,-0.796835859384,-0.933248919805,-700.418720399,89.0102389078
losers,candle_quality,weak_body,33,0,0,-0.986862544401,-32.5664639652,-0.986862544401,-0.894358432534,-32.5664639652,98.3333333333
losers,candle_quality,long_wick,201,0,0,-0.822457162613,-165.313889685,-0.822457162613,-0.98688950183,-165.313889685,65.6467661692
losers,candle_quality,neutral,173,0,0,-0.789716085882,-136.620882858,-0.789716085882,-0.89740840103,-136.620882858,62.5144508671
losers,instrument,USDRUBF,667,0,0,-0.763551694847,-509.288980463,-0.763551694847,-0.859261745746,-509.288980463,60.0149925037
losers,instrument,CNYRUBF,619,0,0,-0.849161512833,-525.630976444,-0.849161512833,-1.01277863713,-525.630976444,105.759289176
