configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
R3-0000-385bd844ded5,1,0,0,NO_EDGE,-0.206940777521,0.566952409201
R3-0001-458ef53eb848,1,0,0,NO_EDGE,-0.224662772947,0.543375492519
R3-0002-4b5f785860fc,1,0,0,NO_EDGE,-0.325116076653,0.257705193502
R3-0003-90afb5cbd41d,9,0,0,NO_EDGE,-0.212337874223,0.551018883662
R3-0004-0c3b6b16a431,1,0,0,NO_EDGE,-0.185050374197,0.631902063063
R3-0005-ee1970ccd0af,1,0,0,NO_EDGE,-0.204950383047,0.556580920061
R3-0006-0b82ce8efd47,1,0,0,NO_EDGE,-0.220350810238,0.532606000679
R3-0007-092857b4e712,1,0,0,NO_EDGE,-0.210226675889,0.552637362764
R3-0008-a065b2eacf8a,1,0,0,NO_EDGE,-0.210943010224,0.553765688265
R3-0009-bbc3113db51d,1,0,0,NO_EDGE,-0.215367212096,0.54093966827
