trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe,fold_id,net_R
T3-M15-WF01-test-Si-000010,T3,Si,LONG,2024-03-19 13:30:00+03:00,92.65,92.4226535425,0.227346457465,2024-03-19 17:30:00+03:00,92.4373599275,ATR_TRAILING_STOP,16,-925.959596924,-0.935312891621,0.212640072531,0.14,0.935312891621,0.615800226496,-0.212640072531,-0.935312891621,4354.58653631,0,-925.959596924,0.001,227.346457465,0,T3_MTF_Trend_v1.0,0.227346457465,USDRUBF,M15,WF01,-0.944110037714
T3-M15-WF01-test-Si-000011,T3,Si,LONG,2024-03-22 14:00:00+03:00,93,92.7747411161,0.225258883918,2024-03-22 14:45:00+03:00,92.7747411161,ATR_TRAILING_STOP,3,-980.740226784,-1,0.225258883918,0,1,0,-0.225258883918,-1,4353.83594966,0,-980.740226784,0.001,225.258883918,0,T3_MTF_Trend_v1.0,0.225258883918,USDRUBF,M15,WF01,-1.00887867313
T3-M15-WF01-test-Si-000012,T3,Si,LONG,2024-03-22 21:45:00+03:00,93.22,92.9879784931,0.232021506948,2024-03-25 09:15:00+03:00,93.0491818333,ATR_TRAILING_STOP,10,-714.81720504,-0.736216952389,0.170818166734,0.25,0.736216952389,1.07748632137,-0.170818166734,-0.736216952389,4184.66734954,0,-714.81720504,0.001,232.021506948,0,T3_MTF_Trend_v1.0,0.232021506948,USDRUBF,M15,WF01,-0.74483684296
T3-M15-WF01-test-CNY-000017,T3,CNY,LONG,2024-03-22 23:00:00+03:00,12.838,12.8068290302,0.0311709698216,2024-03-22 23:15:00+03:00,12.8068290302,ATR_TRAILING_STOP,1,-949.946759391,-1,0.0311709698216,0,1,0,-0.0311709698216,-1,30475.3674598,0,-949.946759391,0.001,31.1709698216,0,T3_MTF_Trend_v1.0,0.0311709698216,CNYRUBF,M15,WF01,-1.06416226417
T3-M15-WF01-test-CNY-000018,T3,CNY,SHORT,2024-03-27 17:15:00+03:00,12.653,12.6854608361,0.032460836069,2024-03-28 00:00:00+03:00,12.6655694401,ATR_TRAILING_STOP,27,-364.158702189,-0.387218619656,0.03,0.018,0.924190613458,0.554514368075,-0.0125694401355,-0.387218619656,28971.7519844,0,-364.158702189,0.001,32.460836069,0,T3_MTF_Trend_v1.0,0.032460836069,CNYRUBF,M15,WF01,-0.44883132722
T3-M15-WF01-test-CNY-000019,T3,CNY,SHORT,2024-03-29 16:45:00+03:00,12.648,12.6757942911,0.0277942911264,2024-03-29 17:00:00+03:00,12.6757942911,ATR_TRAILING_STOP,1,-936.805704775,-1,0.0277942911264,0,1,0,-0.0277942911264,-1,33704.9684237,0,-936.805704775,0.001,27.7942911264,0,T3_MTF_Trend_v1.0,0.0277942911264,CNYRUBF,M15,WF01,-1.07195722283
T3-M15-WF01-test-CNY-000020,T3,CNY,LONG,2024-04-10 10:45:00+03:00,12.886,12.8702636492,0.0157363508278,2024-04-10 11:45:00+03:00,12.8706784299,ATR_TRAILING_STOP,4,-902.992128486,-0.973641873066,0.0153215700953,0.016,0.973641873066,1.01675414936,-0.0153215700953,-0.973641873066,58936.0047875,0,-902.992128486,0.001,15.7363508278,0,T3_MTF_Trend_v1.0,0.0157363508278,CNYRUBF,M15,WF01,-1.10073614174
T3-M15-WF01-test-Si-000013,T3,Si,LONG,2024-04-10 10:45:00+03:00,93.4,93.2503793331,0.149620666887,2024-04-10 11:45:00+03:00,93.2503793331,ATR_TRAILING_STOP,4,-963.784652466,-1,0.149620666887,0.11,1,0.735192552531,-0.149620666887,-1,6441.52089761,0,-963.784652466,0.001,149.620666887,0,T3_MTF_Trend_v1.0,0.149620666887,USDRUBF,M15,WF01,-1.01336713732
T3-M15-WF01-test-Si-000014,T3,Si,LONG,2024-04-10 16:00:00+03:00,93.63,93.462115693,0.167884306964,2024-04-10 17:00:00+03:00,93.462115693,ATR_TRAILING_STOP,4,-954.146805942,-1,0.167884306964,0.1,1,0.595648287851,-0.167884306964,-1,5683.35911318,0,-954.146805942,0.001,167.884306964,0,T3_MTF_Trend_v1.0,0.167884306964,USDRUBF,M15,WF01,-1.01191296576
T3-M15-WF01-test-CNY-000021,T3,CNY,LONG,2024-04-12 09:15:00+03:00,12.909,12.8915084114,0.017491588617,2024-04-12 10:30:00+03:00,12.8915084114,ATR_TRAILING_STOP,5,-918.407726443,-1,0.017491588617,0.01,1,0.571703360909,-0.017491588617,-1,52505.6783892,0,-918.407726443,0.001,17.491588617,0,T3_MTF_Trend_v1.0,0.017491588617,CNYRUBF,M15,WF01,-1.11434067218
T3-M15-WF01-test-CNY-000022,T3,CNY,LONG,2024-04-16 12:00:00+03:00,12.947,12.9290475772,0.0179524227716,2024-04-17 11:00:00+03:00,13.009416864,ATR_TRAILING_STOP,56,3161.1827322,3.47679334458,0.014,0.091,0.779839032209,5.06895370936,0.0624168640114,3.47679334458,50646.2921884,0,3161.1827322,0.001,17.9524227716,0,T3_MTF_Trend_v1.0,0.0179524227716,CNYRUBF,M15,WF01,3.36538776855
T3-M15-WF01-test-Si-000015,T3,Si,LONG,2024-04-16 12:45:00+03:00,94.28,94.113336839,0.166663160974,2024-04-17 09:15:00+03:00,94.3689414776,ATR_TRAILING_STOP,46,504.098170127,0.533660090527,0.14,0.27,0.840017669061,1.62003407605,0.0889414775731,0.533660090527,5667.75124365,0,504.098170127,0.001,166.663160974,0,T3_MTF_Trend_v1.0,0.166663160974,USDRUBF,M15,WF01,0.521659838112
T3-M15-WF01-test-CNY-000023,T3,CNY,LONG,2024-04-17 19:45:00+03:00,13.006,12.9839182055,0.022081794481,2024-04-18 11:30:00+03:00,12.9920556672,ATR_TRAILING_STOP,27,-594.123950879,-0.631485488928,0.0139443327842,0.017,0.631485488928,0.769864967934,-0.0139443327842,-0.631485488928,42606.8396439,0,-594.123950879,0.001,22.081794481,0,T3_MTF_Trend_v1.0,0.022081794481,CNYRUBF,M15,WF01,-0.722057838097
T3-M15-WF01-test-Si-000016,T3,Si,LONG,2024-04-17 20:00:00+03:00,94.43,94.2642805243,0.165719475738,2024-04-18 10:00:00+03:00,94.3334256578,ATR_TRAILING_STOP,20,-553.413943774,-0.58275795142,0.0965743421916,0.06,0.58275795142,0.362057626194,-0.0965743421916,-0.58275795142,5730.44486988,0,-553.413943774,0.001,165.719475738,0,T3_MTF_Trend_v1.0,0.165719475738,USDRUBF,M15,WF01,-0.59482653896
T3-M15-WF01-test-Si-000017,T3,Si,SHORT,2024-04-19 13:15:00+03:00,93.37,93.5495618543,0.179561854254,2024-04-19 21:30:00+03:00,93.2716681749,ATR_TRAILING_STOP,33,517.015566337,0.547620904814,0.09,0.35,0.501220041273,1.94918904939,0.0983318250964,0.547620904814,5257.86606554,0,517.015566337,0.001,179.561854254,0,T3_MTF_Trend_v1.0,0.179561854254,USDRUBF,M15,WF01,0.536482681675
