parameter,value,configurations,positive_share,mean_expectancy_R,min_expectancy_R,max_expectancy_R
ema_fast,15,1,1,0.28608487262,0.28608487262,0.28608487262
ema_fast,20,16,1,0.26364845288,0.129090770931,0.358882594301
ema_fast,25,1,1,0.256141194826,0.256141194826,0.256141194826
ema_fast,30,1,1,0.222663435937,0.222663435937,0.222663435937
ema_trend,40,1,1,0.248382826505,0.248382826505,0.248382826505
ema_trend,50,17,1,0.262674817654,0.129090770931,0.358882594301
ema_trend,60,1,1,0.269410022828,0.269410022828,0.269410022828
ema_slow,150,1,1,0.24394095193,0.24394095193,0.24394095193
ema_slow,200,17,1,0.263938807829,0.129090770931,0.358882594301
ema_slow,250,1,1,0.252364064438,0.252364064438,0.252364064438
adx_threshold,15,1,1,0.274770108751,0.274770108751,0.274770108751
adx_threshold,20,16,1,0.256922806165,0.129090770931,0.350544336787
adx_threshold,25,1,1,0.238847147763,0.238847147763,0.238847147763
adx_threshold,30,1,1,0.358882594301,0.358882594301,0.358882594301
impulse_distance_atr,0.3,1,1,0.274091839613,0.274091839613,0.274091839613
impulse_distance_atr,0.5,17,1,0.261190381477,0.129090770931,0.358882594301
impulse_distance_atr,0.7,1,1,0.268936424738,0.268936424738,0.268936424738
confirmation_window,2,1,1,0.285084408319,0.285084408319,0.285084408319
confirmation_window,3,17,1,0.264675364978,0.129090770931,0.358882594301
confirmation_window,4,1,1,0.19869913652,0.19869913652,0.19869913652
max_initial_stop_atr,2,1,1,0.296812467906,0.296812467906,0.296812467906
max_initial_stop_atr,2.5,17,1,0.259111214152,0.129090770931,0.358882594301
max_initial_stop_atr,3,1,1,0.281561640962,0.281561640962,0.281561640962
trailing_atr,2,1,1,0.129090770931,0.129090770931,0.129090770931
trailing_atr,3,17,1,0.264919390691,0.19869913652,0.358882594301
trailing_atr,4,1,1,0.350544336787,0.350544336787,0.350544336787
