configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,confirmation_window,ema_fast,ema_slow,ema_trend,impulse_distance_atr,max_initial_stop_atr,trailing_atr
T2-M15-0000-5553cde1a914,504,1.57549703621,0.274770108751,138.484134811,-18.3075931413,7.56430043762,0.371031746032,465.089285714,13,0.441125157504,1.70375228188,0.0435358131899,0.171442077317,73.4873398903,1.30539055151,15,3,20,200,50,0.5,2.5,3
T2-M15-0001-3cda411fac32,328,1.6063631152,0.285084408319,93.5076859285,-18.7123542601,4.99710964366,0.371951219512,460.929878049,10,0.440708468992,1.74934749308,0.0666289431554,0.221340519223,38.6775677656,1.25080986922,20,2,20,200,50,0.5,2.5,3
T2-M15-0002-2d018223b5df,455,1.62088673897,0.28608487262,130.168617042,-15.1830312946,8.57329570863,0.41978021978,516.923076923,13,0.451408981356,1.71715949725,0.0485707272695,0.174563868819,70.8486454655,1.3379384789,20,3,15,200,50,0.5,2.5,3
T2-M15-0003-f6822266078f,393,1.52239485735,0.24394095193,95.8687941085,-21.1173412893,4.53981364391,0.396946564885,462.251908397,10,0.438456682855,1.70235148252,0.0590766012998,0.208852605145,37.5181604317,1.20443872533,20,3,20,150,50,0.5,2.5,3
T2-M15-0004-b6d0084e4f65,377,1.54360889975,0.248382826505,93.6403255924,-19.6682651937,4.76098550992,0.395225464191,473.315649867,10,0.415442946204,1.67601914115,0.0510113725278,0.206596829096,38.7068240728,1.2247041957,20,3,20,200,40,0.5,2.5,3
T2-M15-0005-d585df88c9ab,396,1.58668149208,0.274091839613,108.540368487,-18.4295438466,5.88947666802,0.393939393939,466.553030303,9,0.432617640964,1.70588495305,0.0562266905892,0.198777359393,50.18973481,1.27128513488,20,3,20,200,50,0.3,2.5,3
T2-M15-0006-c8f8799b3e84,285,1.58087418012,0.296812467906,84.5915533531,-17.3188697458,4.88435761656,0.375438596491,467.894736842,8,0.451472436838,1.83549503208,0.071693362262,0.253456447233,26.2409196763,1.1801914269,20,3,20,200,50,0.5,2,3
T2-M15-0007-97448e9f1022,405,1.30783083938,0.129090770931,52.281762227,-19.5705656192,2.67144870742,0.4,244.185185185,12,0.379782769655,1.27686335838,0.0344121725113,0.150539945944,18.8436754202,1.11095005552,20,3,20,200,50,0.5,2.5,2
T2-M15-0008-2b0494cdd24b,384,1.52360105929,0.246956503781,94.831297452,-18.0698473818,5.24804086323,0.395833333333,455.1171875,9,0.433559705687,1.69253645463,0.0598134344732,0.211457520195,36.4806637752,1.20142415752,20,3,20,200,50,0.5,2.5,3
T2-M15-0009-92427c2b03f4,370,1.67953468979,0.350544336787,129.701404611,-23.1932487707,5.59220512372,0.345945945946,685.621621622,14,0.4462581773,2.05462548147,0.051760854687,0.193647094599,67.6240772198,1.35429767684,20,3,20,200,50,0.5,2.5,4
T2-M15-0010-ad8418b22c05,426,1.63321604418,0.281561640962,119.94525905,-14.1687510089,8.46547864202,0.403755868545,466.478873239,10,0.422266242564,1.68056865577,0.0533514672936,0.188612626445,61.5946253731,1.32517087654,20,3,20,200,50,0.5,3,3
T2-M15-0011-37b94d2fd3b2,369,1.57346906854,0.268936424738,99.2375407282,-15.3298951271,6.47346507625,0.406504065041,470.528455285,9,0.438440313401,1.72180943357,0.0606173542851,0.214299605612,40.8869070514,1.23627526771,20,3,20,200,50,0.7,2.5,3
T2-M15-0012-f533275fb390,384,1.56256742329,0.269410022828,103.453448766,-20.9830417925,4.93033611567,0.403645833333,497.3046875,8,0.446003582662,1.71749495269,0.0574396814914,0.214510396002,41.8141763489,1.22738046654,20,3,20,200,60,0.5,2.5,3
T2-M15-0013-2fa976bb392d,374,1.53164415073,0.252364064438,94.3841600997,-19.0460217447,4.95558397259,0.398395721925,451.122994652,10,0.429984049593,1.70084546545,0.0606995162529,0.214590071561,36.0335264229,1.20296852282,20,3,20,250,50,0.5,2.5,3
T2-M15-0014-26fb9b19bd4f,328,1.54591586172,0.256141194826,84.014311903,-19.2133843545,4.37269719655,0.378048780488,485.533536585,16,0.434180942094,1.6589029144,0.0693757621359,0.217082809237,32.368055374,1.21032410361,20,3,25,200,50,0.5,2.5,3
T2-M15-0015-06f7457aa579,298,1.46613667793,0.222663435937,66.3537039092,-19.3484036733,3.42941490314,0.359060402685,442.147651007,14,0.431418274819,1.59290427528,0.0790851294517,0.254511652118,13.2366447241,1.0929878098,20,3,30,200,50,0.5,2.5,3
T2-M15-0016-6849cb8732c4,413,1.42620656814,0.19869913652,82.0627433829,-18.1825077858,4.51327970539,0.387409200969,483.050847458,10,0.432981237428,1.61308382459,0.0493937858206,0.16928754341,35.5755498506,1.18476756183,20,4,20,200,50,0.5,2.5,3
T2-M15-0017-ddab5bab2879,248,1.49573252516,0.238847147763,59.2340926452,-9.67272056733,6.12382961266,0.407258064516,486.955645161,10,0.464641670002,1.67615604961,0.0735248030676,0.24720646031,15.0528344102,1.12597778205,25,3,20,200,50,0.5,2.5,3
T2-M15-0018-f1f384e0c476,161,1.79161081206,0.358882594301,57.7800976825,-9.22214815678,6.26536211523,0.434782608696,565.900621118,9,0.447168956111,1.79297091062,0.0804044662608,0.278048491835,21.4195201381,1.29345612781,30,3,20,200,50,0.5,2.5,3
