version,configuration_id,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_holding_minutes,losing_streak,average_MAE_R,average_MFE_R,concentration_top_1,concentration_top_5,top_five_trade_dependency_net_R,top_five_trade_dependency_PF,adx_threshold,confirmation_window,ema_fast,ema_slow,ema_trend,impulse_distance_atr,max_initial_stop_atr,trailing_atr
baseline,T2-M15-0008-2b0494cdd24b,384,1.52360105929,0.246956503781,94.831297452,-18.0698473818,5.24804086323,0.395833333333,455.1171875,9,0.433559705687,1.69253645463,0.0598134344732,0.211457520195,36.4806637752,1.20142415752,20,3,20,200,50,0.5,2.5,3
optimized,T2-M15-0014-26fb9b19bd4f,328,1.54591586172,0.256141194826,84.014311903,-19.2133843545,4.37269719655,0.378048780488,485.533536585,16,0.434180942094,1.6589029144,0.0693757621359,0.217082809237,32.368055374,1.21032410361,20,3,25,200,50,0.5,2.5,3
