direction,holding_bucket,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate,average_MAE_R,average_MFE_R,average_final_R
LONG,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
LONG,5-15 min,55,0.0148740431482,-0.864661054534,-47.5563579994,-47.5563579994,-1,0.0363636363636,0.220347867596,0.133525110886,-0.864661054534
LONG,15-30 min,76,7.28220709336e-05,-0.946982882646,-71.9706990811,-71.9706990811,-1,0.0131578947368,0.566942925616,0.408442475774,-0.946982882646
LONG,30-60 min,116,0.24434112051,-0.507426285657,-58.8614491362,-58.8614491362,-1,0.155172413793,0.462626580528,1.12866381111,-0.507426285657
LONG,60-120 min,95,1.81906102339,0.266076461806,25.2772638716,-8.51356500795,2.96905748038,0.452631578947,0.438621074656,1.88871455381,0.266076461806
LONG,120+ min,128,7.69890236281,1.52301450706,194.945856903,-9.58276118652,20.3433909193,0.703125,0.475560293117,3.09399241263,1.52301450706
SHORT,0-5 min,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,0,0,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE,DATA_UNAVAILABLE
SHORT,5-15 min,53,0.0267710666659,-0.938507864097,-49.7409167971,-49.7409167971,-1,0.0188679245283,0.228728636783,0.156411426606,-0.938507864097
SHORT,15-30 min,60,0.0136819567967,-0.953886028254,-57.2331616952,-57.2331616952,-1,0.0166666666667,0.571028451139,0.518274066331,-0.953886028254
SHORT,30-60 min,82,0.106826188221,-0.679051596536,-55.682230916,-56.9452210039,-0.977820964329,0.109756097561,0.596566251819,0.87411259117,-0.679051596536
SHORT,60-120 min,77,1.5897072962,0.254253775279,19.5775406965,-9.16614680441,2.13585284135,0.285714285714,0.486309385838,1.8834061112,0.254253775279
SHORT,120+ min,88,10.2848925354,1.72617907519,151.903758617,-3.04648980458,49.8618962678,0.727272727273,0.399372799722,3.31244934666,1.72617907519
