symbol,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
USDRUBF,42,1.7632770654,0.326243760231,13.7022379297,-6.44419885543,2.12629036396,0.404761904762,3,7
CNYRUBF,43,1.35462665454,0.192673913207,8.28497826789,-8.14874205626,1.0167186801,0.325581395349,2,8
GLDRUBF,43,1.30287321179,0.141204346759,6.07178691065,-6.58057909202,0.922682764805,0.395348837209,3,6
IMOEXF,43,2.13934767108,0.432717939533,18.6068713999,-3.67248969761,5.06655509804,0.46511627907,6,4
