direction,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,winning_streak,losing_streak
LONG,91,1.34080943361,0.16107749607,14.6580521424,-20.4464727448,0.716898817972,0.351648351648,5,20
SHORT,80,1.92285935684,0.400097779572,32.0078223658,-7.61223770076,4.20478492974,0.45,5,9
